number,id,title,question,img,Gold Standard,T5_BBOX,T5,Summary 1,Summary 2,Summary 3
10,5930,Democrats now about as likely to sympathize with Palestinians as Israel side do you sympathize with more? (%) Democrats,Tell some information about Democrats now about as likely to sympathize with Palestinians as Israel side do you sympathize with more?,dataset/images/5930.png,"For the first time in Pew Research Center surveys , Democrats are about as likely to say they sympathize more with the Palestinians ( 31 % ) than with Israel ( 33 % ) ; 11 % say they sympathize with neither , while 8 % sympathize with both and 17 % do not offer an opinion . The share of Democrats who say they sympathize more with Israel is down 10 points from April 2016 . The share who say they sympathize more with the Palestinians is little changed from last April ( 29 % ) , but is up significantly from July 2014 when just 17 % said they sympathized more with the Palestinians . By contrast , Republicans continue to overwhelmingly say they sympathize more with Israel ( 74 % ) than the Palestinians ( 11 % ) . There has been little movement in views among Republicans in recent years , but the share who say they sympathize more with Israel is now higher than in the mid-2000s and prior . For example , in 2005 , 57 % of Republicans said they sympathized more with Israel in their dispute with the Palestinians . As a result of these trends , there is now a 41 - point gap between the shares of Republicans ( 74 % ) and Democrats ( 33 % ) who say they sympathize more with Israel .",Democrats are now about as likely to sympathize with the Palestinians as they are to sympathize with Israel ( 33 % vs. 38 % ).,"For the first time in Pew Research Center surveys, Democrats are about as likely to say they sympathize more with the Palestinians ( 31 % ) than with Israel ( 33 % ) ; 11 % say they sympathize with neither, while 8 % sympathize with both and 17 % do not offer an opinion.",Gold Standard,T5,T5_BBOX
11,1532,About six-in-ten women say the country hasn't gone far enough when it comes to gender equality % saying the country when it comes to giving women equalrights with mmen,Compare partisans difference of opinion about the effort to have gender equality.,dataset/images/1532.png,"About three - quarters ( 74 % ) of women who are Democrats or Democratic - leaning independents say the country has n’t gone far enough on gender equality , compared with just a third ( 33 % ) of women who are Republican or Republican leaners . Among Democrats , women with a college degree are more likely than less - educated women to say the country has n’t gone far enough on gender equality",About six - in - ten Democrats and Democratic - leaning independents ( 69 % ) say the country has not gone far enough when it comes to gender equality,"About three - quarters ( 74 % ) of women who are Democrats or Democratic - leaning independents say the country has n’t gone far enough on gender equality, compared with just a third ( 33 % ) of women who are Republican or Republican leaners. Among Democrats, women with a college degree are more likely than less - educated women to say the country has n’t gone far enough on gender equality.",T5_BBOX,T5,Gold Standard
12,4903,Divide emerging in how partisans see Xi Jinping,Write details about divide emerging in how partisans see Xi JinPing?,dataset/images/4903.png,"While Republicans and Democrats were equally likely to lack confidence in the Chinese leader in 2018 and 2019 , there is a now a partisan gap : Republicans are more likely than Democrats to say they have no confidence at all in Xi ( 61 % vs. 51 % ) .","About six - in - ten Republicans and Republican leaners ( 61 % ) say they have no confidence at all in Xi to do the right thing regarding world affairs, compared with just 22 % of Democrats and Democratic leaners.",Republicans are more likely than Democrats to say they have little or no faith in Xi ( 82 % vs. 75 % ). Republicans are also more likely to say they have no confidence at all in Xi ( 61 % vs. 51 % ).,T5,Gold Standard,T5_BBOX
13,5865,"Three quarters of Facebook users and half of Instagram users muse each site daily Among the users of each social networking site, % who use these sites",Explain how much Instagram users access the platform.,dataset/images/5865.png,"Instagram and Twitter occupy the middle tier of social media sites in terms of the share of users who log in daily . Roughly half ( 51 % ) of Instagram users access the platform on a daily basis , with 35 % saying they do so several times a day","About three - quarters of Instagram users ( 22 % ) use the platform daily, while about half ( 51 % ) of Facebook users use the platform less often.",Roughly half ( 51 % ) of Instagram users access the platform on a daily basis.,Gold Standard,T5_BBOX,T5
14,1320,Newsroom employees are more likely to be white and male than all U.S. workers % ofus employed adults who are Newsroom employees 77% Note: Based on population ages 18 and older employed in the civilian labor force Non-Hispanic whites include only,Compare gender differences between newsroom employees?,dataset/images/1320.png,"Newsroom employees are more likely than workers overall to be male . About six - in - ten newsroom employees ( 61 % ) are men , compared with 53 % of all workers .",Newsroom employees are more likely than all U.S. workers to be non - Hispanic white ( 77 % vs. 61 % ) and male ( 53 % vs. 38 % ).,"About six - in - ten newsroom employees ( 61 % ) are men, compared with 53 % of all workers. When combining race / ethnicity and gender, almost half ( 48 % ) of newsroom employees are non - Hispanic white men compared with about a third ( 34 % ) of workers overall.",T5_BBOX,T5,Gold Standard
15,1233,Share of adults living in middle-income households is unchanged since 2011,Describe the changes in American income level from 1971 to 2011?,dataset/images/1233.png,"From 1971 to 2011 , the share of adults in the middle class fell by 10 percentage points . But that shift was not all down the economic ladder . The increase in the share of adults who are upper income was greater than the increase in the share who are lower income over that period , a sign of economic progress overall .","From 1971 to 2011, the share of adults living in middle - income households has remained unchanged. In 2011, 59 % of adults lived in middle - income households, up from 29 % in 1971.",About half ( 52 % ) of American adults lived in middle - class households in 2016. This is virtually unchanged from the 51 % who were middle class in 2011.,T5,Gold Standard,T5_BBOX
16,2186,"Older adults, conservative Republicans most likely to say U.S. is top nation Statement that bestdescribes opinion of the US (%, U.S sta nds a bove all other countries in the world US one of greatest countries along with others There are other co untries that a re better than U.S",Describe the difference in views of U.S. global standing by race and ethnicity?,dataset/images/2186.png,"There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations . The majority view across each of these groups is that the U.S. is a great country , on par with some other countries .","Roughly two - thirds ( 57 % ) of those ages 65 and older say the U.S. is one of the greatest countries in the world, compared with just 13 % of those ages 65 and older.","Among Democrats, just 13 % of liberals say the U.S. stands above other nations, compared with 23 % of moderate and conservative Democrats. And nearly three - in - ten liberal Democrats ( 29 % ) say there are other countries better than the U.S. ; only 13 % of conservative and moderate Democrats say the same. Adults 65 and older are the most likely to say the U.S. stands above all other nations ( 44 % ). By contrast, just 12 % of those younger than 30 say the",T5_BBOX,Gold Standard,T5
17,7540,Is Iraq Another Vie stnam? Is Iraq 4 Civil War? Mostly a civil war Iraq willbe ano ther Vie tram,What is the public opinion on the Iraq civil war?,dataset/images/7540.png,"The latest national survey by the Pew Research Center for the People & amp ; the Press , conducted Dec. 6 - 10 among 1,502 adults , finds that 52 % currently describe the violence in Iraq as “ mostly a civil war , ” rather than an insurgency against the U.S. and its allies . While this is largely unchanged from September , it represents a major shift from a year ago . In December 2005 , just 30 % viewed the violence in Iraq as mostly a civil war while 58 % said it was an insurgency aimed at the U.S. and its allies .","Currently, 52 % say the U.S. will accomplish its goals in Iraq, while 35 % say it will be mostly an insurgency.","52 % currently describe the violence in Iraq as “ mostly a civil war, ” rather than an insurgency against the U.S. and its allies.",Gold Standard,T5,T5_BBOX
18,5302,"Russian and American opinions of the other country's president have generally remained low for many years American confidence in Putiny Russian confidence in U.S. Presidents Bush ('o3 '88), Obama (oog '15) and Trump (17-18) to do the right thing regarding",Describe some information about Russian and American opinion of the other country's president?,dataset/images/5302.png,"Among both Americans and Russians , there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs . Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade .","Russian confidence in U.S. President George W. Bush to do the right thing regarding world affairs has remained low for many years. Today, 41 % of Russians say they have confidence in U.S. President George W. Bush to do the right thing regarding world affairs.","Among both Americans and Russians, there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs. Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade.",Gold Standard,T5,T5_BBOX
19,6838,Fewer Republicans Say They Agree with the Tea Party Percent among Republicans and Republican leaners agreeing or disagreeing with the Tea Party,Describe the changes in Republican views regarding the Tea Party.,dataset/images/6838.png,In asking Republicans whether they agree or disagree with the Tea Party agreement has fallen from 48 % in March 2010 to 33 % .,"Currently, 55 % of Republicans and Republican - leaning independents say they agree with or disagree with the Tea Party.","In asking Republicans whether they agree or disagree with the Tea Party, Pew Research surveys found that agreement has fallen from 48 % in March 2010 to 33 % in our most recent poll conducted in late April this year. At one point agreement with the Tea Party dipped to 28 % in May 2013.",T5,Gold Standard,T5_BBOX
20,6933,"Social networking site use by age group, 2005-2011 The percentage of adult internet users in each age group who use social networking sites",How is the use of social networks characterized by different age groups?,dataset/images/6933.png,"Social networking sites have been very popular with young adults ages 18 - 29 almost since their inception . Between February 2005 and August 2006 , the use of social networking sites among young adult internet users ages 18 - 29 jumped from 9 % to 49 % ; during this same time period , use of these sites by 30 - 49 year olds remained essentially unchanged . Since then , users under age 30 have continued to be significantly more likely to use social networking sites when compared with every other adult age group . As of May 2011 , over eight in ten internet users ages 18 - 29 use social networking sites ( 83 % ) , compared with seven in ten 30 - 49 year - olds ( 70 % ) , half of 50 - 64 year - olds ( 51 % ) , and a third of those age 65 and older ( 33 % ) .","The share of internet users ages 65 and older who use social networking sites has risen significantly in recent years. In 2005, 83 % of internet users ages 65 and older used social networking sites, compared with 61 % of internet users ages 18 to 29. In 2011, the share of internet users ages 30 to 49 increased to 47 %.","Social networking sites have been very popular with young adults ages 18 - 29 almost since their inception. Between February 2005 and August 2006, the use of social networking sites among young adult internet users ages 18 - 29 jumped from 9 % to 49 % ; during this same time period, use of these sites by 30 - 49 year olds remained essentially unchanged. Since then, users under age 30 have continued to be significantly more likely to use social networking sites when compared with every other adult age group. As of May 2011, over eight in",T5_BBOX,T5,Gold Standard
21,6729,Obama in 2nd Term Job approval by party,Describe the trend in Obama's support among Independents.,dataset/images/6729.png,"Since December 2012 , Obama has lost the most ground among independents : Currently , only 32 % of independents approve of his job performance . In December , 53 % approved .","Currently, 42 % of independents approve of Obama ’s job performance, compared with 32 % of Republicans and 32 % of Democrats.","Obama has lost the most ground among independents : Currently, only 32 % of independents approve of his job performance while 61 % disapprove. Obama ’s current rating among independents is only slightly higher than Bush ’s in November 2005 ( 29 % approved ). Like Bush, Obama retains broad support among members of his own party, though the share of Democrats who give him a positive jobs rating has fallen 10 points over the past year ( from 88 % to 78 % ). Obama ’s job rating among",T5,T5_BBOX,Gold Standard
22,280,9% of black college students were enrolled at an HBCU in 2015 degree were college enrolled university ata historically black college or university infall semester 1980 1990 2000 2010 2015 Note: Congress defines historically black colleges Congress and universities as degree- granting 1964 with the principal missionof prior,Describe the trend in black college students enrolment in HBCU since 1980.,dataset/images/280.png,"Since 1980, the share of blacks attending HBCUs began to shrink . By fall 1980 , 17 % of black students enrolled in degree - granting institutions were enrolled at an HBCU . By 2000 , that share had declined to 13 % , and it stood at 9 % in 2015 .","In 2015, 8.5 % of black college students were enrolled at an HBCU, up from 13.1 % in 1980.","By fall 1980, 17 % of black students enrolled in degree - granting institutions were enrolled at an HBCU. By 2000, that share had declined to 13 %, and it stood at 9 % in 2015.",Gold Standard,T5,T5_BBOX
23,3510,"Blacks More Likely than Whites to Say Brown's Shooting Raises Racial Issues Thinking about the police shooting of an African American teen in Ferguson, Missouri, percent saying important This case raises Race is attention getting important issues more attention getting DK",What is the opinion of blacks and whites about Brown's shooting and racial issues ?,dataset/images/3510.png,"By about four - to - one ( 80 % to 18 % ) , African Americans say the shooting in Ferguson raises important issues about race that merit discussion By contrast , whites , by 47 % to 37 % , say the issue of race is getting more attention than it deserves .","Blacks are more likely than whites to say the police shooting of an African - American teen in Ferguson, Missouri raises important issues about race than it deserves. About three - in - ten blacks ( 18 % ) say this case raises more attention than it deserves, compared with 47 % of whites.","By about four - to - one ( 80 % to 18 % ), African Americans say the shooting in Ferguson raises important issues about race that merit discussion. By contrast, whites, by 47 % to 37 %, say the issue of race is getting more attention than it deserves.",T5,T5_BBOX,Gold Standard
24,941,Overall views of tax law little changed; fewer Republicans ‘strongly approve’,How do Republicans see tax law?,dataset/images/941.png,"About seven - in - ten Republicans ( 71 % ) approve of the tax law , including 43 % who strongly approve . Early last year , about the same share of Republicans approved of the tax law ( 75 % ) , but a majority ( 57 % ) strongly approved","Currently, 43 % of Republicans and Republican leaners approve of the tax law passed by Donald Trump and Congress in 2017, down from 71 % in January 2018.","About seven - in - ten Republicans ( 71 % ) approve of the tax law, including 43 % who strongly approve. Early last year, about the same share of Republicans approved of the tax law ( 75 % ), but a majority ( 57 % ) strongly approved.",T5,T5_BBOX,Gold Standard
25,5393,"Republicans stee too much regulation of financial industry, Democrats too little Which comes closer to your view? The government Has gone too far Has not gone far regulating financial enough regulating linstitutions",What is the opinion of north americans on the regulation of the financial industry?,dataset/images/5393.png,"Overall , about half of Americans ( 49 % ) say “ the government has not gone far enough in regulating financial institutions and markets , leaving the country at risk of another financial crisis , ” while 42 % say the government has gone too far , “ making it harder for the economy to grow .","About half of Americans ( 49 % ) say the government has gone too far in regulating the financial industry, while 42 % say the government has not gone far enough.","By roughly two - to - one, Republicans and Republican - leaning independents are more likely to say financial regulations have gone too far ( 63 % ) than to say they have not gone far enough ( 31 % ). The balance of opinion among Democrats and Democratic leaners is reversed : More than twice as many Democrats say the government has not gone far enough in this area ( 62 % ) as say it has gone too far ( 29 % ).",Gold Standard,T5_BBOX,T5
26,3821,"What Entertainment) Public Figures, If Any, First Come to Mind Who Are Gay or Lesbian? Percent of general public respondents naming... Ellen De Generes Jason Collins",What is the reference of the LGBT public when asked about a LGBT artist or public figure?,dataset/images/3821.png,Jason Collins was the second - most frequently mentioned gay or lesbian public figure . 38 % said they could n’t name any gay or lesbian entertainers or public figures .,"When asked about a gay or lesbian artist or public figure, 32 % of the general public names Ellen DeGeneres, Jason Collins, Elton John, Rosie O’Donnell, Barney Frank, Anderson Cooper, Rock Hudson.",almost four - in - ten Americans ( 38 % ) said they could n’t name any gay or lesbian entertainers or public figures.,T5_BBOX,T5,Gold Standard
27,2186,"Older adults, conservative Republicans most likely to say U.S. is top nation Statement that bestdescribes opinion of the US (%, U.S sta nds a bove all other countries in the world US one of greatest countries along with others There are other co untries that a re better than U.S",Describe the difference in views of U.S. global standing by race and ethnicity?,dataset/images/2186.png,"There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations . The majority view across each of these groups is that the U.S. is a great country , on par with some other countries .","Roughly two - thirds ( 57 % ) of those ages 65 and older say the U.S. is one of the greatest countries in the world, compared with just 13 % of those ages 65 and older.","Among Democrats, just 13 % of liberals say the U.S. stands above other nations, compared with 23 % of moderate and conservative Democrats. And nearly three - in - ten liberal Democrats ( 29 % ) say there are other countries better than the U.S. ; only 13 % of conservative and moderate Democrats say the same. Adults 65 and older are the most likely to say the U.S. stands above all other nations ( 44 % ). By contrast, just 12 % of those younger than 30 say the",Gold Standard,T5_BBOX,T5
28,848,"Hispanic and lower-income tech users are especially worried about paying home broadband, cellphone bills",What is the share concern of Americans of different income levels?,dataset/images/848.png,"especially Roughly half of lower - income broadband users ( 52 % ) say they worry a lot or some about being able to pay for their high - speed internet connection over the coming months , compared with 26 % of those with incomes in the middle and just 9 % of those in the high - income tier",About half of Hispanic and lower - income tech users ( 52 % ) say they worry a lot or some about paying their cellphone bills over the next few months.,"Americans with lower incomes are especially likely to express concern about broadband and cellphone bills. Roughly half of lower - income broadband users ( 52 % ) say they worry a lot or some about being able to pay for their high - speed internet connection over the coming months, compared with 26 % of those with incomes in the middle and just 9 % of those in the high - income tier. Among smartphone owners, 54 % of those who have lower incomes say they worry at least some about paying their cellphone bills, compared with 25",T5,Gold Standard,T5_BBOX
29,280,9% of black college students were enrolled at an HBCU in 2015 degree were college enrolled university ata historically black college or university infall semester 1980 1990 2000 2010 2015 Note: Congress defines historically black colleges Congress and universities as degree- granting 1964 with the principal missionof prior,Describe the trend in black college students enrolment in HBCU since 1980.,dataset/images/280.png,"Since 1980, the share of blacks attending HBCUs began to shrink . By fall 1980 , 17 % of black students enrolled in degree - granting institutions were enrolled at an HBCU . By 2000 , that share had declined to 13 % , and it stood at 9 % in 2015 .","In 2015, 8.5 % of black college students were enrolled at an HBCU, up from 13.1 % in 1980.","By fall 1980, 17 % of black students enrolled in degree - granting institutions were enrolled at an HBCU. By 2000, that share had declined to 13 %, and it stood at 9 % in 2015.",T5,T5_BBOX,Gold Standard
30,1092,Party and education play significant role in views of U.S.-China economic ties.,Describe the proportion of Americans who think economic relations between the US and China are bad?,dataset/images/1092.png,"Today , just over half of Americans ( 53 % ) believe current economic ties between the U.S. and China are bad","About half of Americans ( 53 % ) say current economic ties between the U.S. and China are bad, compared with 41 % who say they are good.","Today, just over half of Americans ( 53 % ) believe current economic ties between the U.S. and China are bad. Fewer ( 41 % ) think economic relations between the two nations are good, with just 2 % of American adults saying ties are very good.",T5,T5_BBOX,Gold Standard
31,5311,"Since 2001, decline in the share saying legal immigration should be decreased % should who say be that legal immigration into the United States",What is the percentage of Americans who favor increased legal immigration to the U.S. versus those who favor a decrease?,dataset/images/5311.png,"Since 2001 , the share of Americans who favor increased legal immigration into the U.S. has risen 22 percentage points ( from 10 % to 32 % ) , while the share who support a decrease has declined 29 points ( from 53 % to 24 % ) .","About half of Americans ( 53 % ) say that legal immigration into the U.S. should be increased, compared with 29 % who say it should be kept at its present level.","Since 2001, the share of Americans who favor increased legal immigration into the U.S. has risen 22 percentage points ( from 10 % to 32 % ), while the share who support a decrease has declined 29 points ( from 53 % to 24 % ).",T5_BBOX,Gold Standard,T5
32,3404,Mobile Payments Popular in Africa % yes make or receive payments on their phones 68,In which country is the percentage of mobile payment use the highest in Africa?,dataset/images/3404.png,Nearly seven - in - ten Kenyans ( 68 % ) who own a cell phone say they regularly use their mobile device to make or receive payments .,"In Kenya, 68 % of mobile phone owners say they regularly make or receive payments on their phones. In Uganda, 50 % make or receive payments on their phones. In Senegal, 24 % make or receive payments on their phones. In Nigeria, 11 % make or receive payments on their phones.","Nearly seven - in - ten Kenyans ( 68 % ) who own a cell phone say they regularly use their mobile device to make or receive payments. Half in Uganda say this as well. Meanwhile, even though only 29 % of mobile owners in South Africa and 24 % in Senegal say they use their phones for monetary transactions, these are still among the highest percentages across all the countries surveyed. Only in Russia ( 24 % ) do as many cell owners use their device for such purposes. In the 18 countries surveyed",T5,T5_BBOX,Gold Standard
33,4384,"Prior to Pulwama attack, there was great concern over Pakistan.",Comment on the concern of Pakistan as a threat among Indians?,dataset/images/4384.png,"Most Indians see Pakistan , as a threat . When asked how serious of a danger Pakistan poses for India , about three - quarters in India ( 76 % ) say Pakistan is a threat . Only 7 % of Indians do not see Pakistan as a danger for their country .",About seven - in - ten Indians ( 76 % ) say Pakistan poses a very or somewhat serious threat to their country.,"Most Indians see Pakistan, their neighbor to the west, as a threat. When asked how serious of a danger Pakistan poses for India, about three - quarters in India ( 76 % ) say Pakistan is a threat, including 63 % who say it is a very serious threat. Only 7 % of Indians do not see Pakistan as a danger for their country.",T5_BBOX,Gold Standard,T5
34,2431,"Liberal Dems, conservative Reps more likely to get one-sided news from family and friends online % of online news consumers who say the snews they get from family and friends online representsjust one side but conservative Republicans are most likely to think that's OK of those online from news consumers side, who say they mostly only see news from one side, % of who say that's OK",What is conservative Republicans opinions about seeing one sided news?,dataset/images/2431.png,"About half ( 51 % ) of conservative Republicans who said they see mostly one - sided news say this is OK – a larger share than among all other political groups , including liberal Democrats ( 34 % ) .","About half of liberal Democrats ( 51 % ) and conservative Republicans ( 29 % ) say the news they get from family and friends online represents only one side, compared with 29 % of moderate and liberal Democrats.","about half ( 51 % ) of conservative Republicans who said they see mostly one - sided news say this is OK – a larger share than among all other political groups, including liberal Democrats ( 34 % ).",Gold Standard,T5_BBOX,T5
35,2679,Bipartisan willingness to use force to defend U.S. allies in conflict with China,What are views of Democrats about using force to defend an Asian ally?,dataset/images/2679.png,"By a 52%-39 % margin , Democrats favor using force to defend an Asian ally .","58 % of Democrats say that if one of our allies got into a serious military conflict with China, we should use force to defend them","by a 52%-39 % margin, Democrats also favor using force to defend an Asian ally.",Gold Standard,T5,T5_BBOX
