number,id,title,question,img,Gold Standard,VLT5_S,VLT5,Summary 1,Summary 2,Summary 3
10,4718,"In Mideast, Fears that Syria Violence Will Spread Concern that violence in Syria willspread to neighboring countries",What are views of Turkey on violence in Syria?,dataset/images/4718.png,"Compared with the other countries surveyed , those in Turkey were a 55%-majority still worried that the violence would spread .","The 2013 poll found that roughly three - quarters or more of the public in Lebanon, Tunisia, Jordan, Israel, Egypt and the Palestinian territories were concerned that the ongoing Syrian conflict would destabilize nearby countries. even more Turks ( 62 % ) fretted that the conflict would cross into their own country.","Turkey is among the least worried about violence in Syria. Nearly nine - in - ten in Lebanon say violence will spread across Syria, and about seven - in - ten in Turkey say the same.",Gold Standard,VLT5_S,VLT5
11,4423,U.S. Hispanic population reached nearly 61 million in 2019 In millions,Describe the population evolution of Latinos from 2010 to 2019?,dataset/images/4423.png,"The U.S. Hispanic population reached 60.6 million in 2019 , up from 50.7 million in 2010 .","The U.S. Hispanic population reached 60.6 million in 2019, up from 50.7 million in 2010. Hispanics made up 18 % of the U.S. population in 2019, up from 16 % in 2010 and just 5 % in 1970.","The U.S. Hispanic population reached a record 60.6 million in 2019, and up from 53.7 million in 2010, according to newly released U.S. Census Bureau population estimates.",VLT5_S,VLT5,Gold Standard
12,7674,News Interest vs. News Coverage April 28 May 4 Coverage,Discuss the attention of people to major headlines and their coverage.,dataset/images/7674.png,"The presidential campaign once again was the most heavily covered story of the week , accounting for 38 % of all news coverage . For the public , however , the rising price of gas , which emerged as a prominent issue in the campaign , was the top news story . More than six - in - ten ( 63 % ) say they followed news about gas prices very closely and 30 % cited it as the story they followed most closely last week . The public also closely tracked news about the national economy : 43 % say the followed economic news very closely with 20 % citing it as the story they followed most closely last week . The economy was the second most covered story , accounting for 10 % of news coverage .","The presidential campaign once again was the most heavily covered story of the week, accounting for 38 % of all news coverage. For the public, however, the rising price of gas, which emerged as a prominent issue in the campaign, was the top news story. More than six - in - ten ( 63 % ) say they followed news about gas prices very closely and 30 % cited it as the story they followed most closely last week. The public also closely tracked news about the national economy : 43 % say the followed economic news very closely with 20 % citing it as the story they followed most closely last week. The economy was the second most covered story, accounting for 10 % of news coverage.","Fully 45 % paid very close attention to reports about the condition of the economy, and another 30 % listed this as the single news story they followed more closely than any other. The national news media devoted 6 % of its overall coverage to the economy.",Gold Standard,VLT5_S,VLT5
13,1134,"Nicotine, flavoring-only cartridges popular among older students who vape % ofU.S students who said they vaped the the last 30 days, 2018",Is vaping an inherent practice of College students?,dataset/images/1134.png,", vaping increased among college students from 2017 to 2018 , the most recent year for which MTF has released data for this group . In fact , the uptick in vaping among college students for nicotine ( from 6 % in 2017 to 16 % in 2018 ) and marijuana ( from 5 % to 11 % ) were among the greatest one - year increases for any substance asked about since the survey was first administered in 1975 .","In fact, the uptick in vaping among college students for nicotine ( from 6 % in 2017 to 16 % in 2018 ) and marijuana ( from 5 % to 11 % ) were among the greatest one - year increases for any substance asked about since the survey was first administered in 1975. Nicotine was the most commonly cited substance being used in e - cigarettes for most groups of students in 2018. Vaping just flavoring, by comparison, was more common for 12th graders ( 14 % ), 10th graders ( 13 % ) and eighth graders ( 8 % ) than for college students ( 5 % ) in the previous month.","Some 16 % of college students who have vaped the last 30 days said they did so, compared with 7 % of those who had only vaped 10th grade and 8 % of those who had gotten married or had no more than a year in college.",VLT5_S,VLT5,Gold Standard
14,2186,"Older adults, conservative Republicans most likely to say U.S. is top nation Statement that bestdescribes opinion of the US (%, U.S sta nds a bove all other countries in the world US one of greatest countries along with others There are other co untries that a re better than U.S",Describe the difference in views of U.S. global standing by race and ethnicity?,dataset/images/2186.png,"There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations . The majority view across each of these groups is that the U.S. is a great country , on par with some other countries .","Among Democrats, just 13 % of liberals say the U.S. stands above other nations, compared with 23 % of moderate and conservative Democrats. And nearly three - in - ten liberal Democrats ( 29 % ) say there are other countries better than the U.S. ; only 13 % of conservative and moderate Democrats say the same. Adults 65 and older are the most likely to say the U.S. stands above all other nations ( 44 % ). By contrast, just 12 % of those younger than 30 say the same, the lowest share in any age category. There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations.","About half of white adults ( 49 % ) say the U.S. is one of the greatest countries in the world, while just 17 % of Hispanics and 17 % of blacks say there are other countries that are better than the U.S.",Gold Standard,VLT5_S,VLT5
15,4419,Share of Americans who see the federal budget deficit as a very big problem budget has fallen since 2018 very % who say the federal budget deficit is a vvery big problem in the country today,What are trends in U.S. adults identifying the federal budget deficit a very big problem since 2018?,dataset/images/4419.png,"In a Pew Research Center survey conducted June 16 - 22 , just under half of U.S. adults ( 47 % ) called the deficit “ a very big problem ” in the country today – down from 55 % in the fall of 2018 .","In a Pew Research Center survey conducted June 16 - 22, just under half of U.S. adults ( 47 % ) called the deficit “ a very big problem ” in the country today – down from 55 % in the fall of 2018. Over roughly that same period, the deficit grew from $ 779.1 billion at the end of fiscal 2018 to $ 2.8 trillion as of the end of July, according to data reported by the Treasury Department.","Overall, 55 % of Americans now say the federal budget deficit is a very big problem in the country today, down from 55 % in June 2018.",VLT5_S,Gold Standard,VLT5
16,4384,"Prior to Pulwama attack, there was great concern over Pakistan.",Comment on the concern of Pakistan as a threat among Indians?,dataset/images/4384.png,"Most Indians see Pakistan , as a threat . When asked how serious of a danger Pakistan poses for India , about three - quarters in India ( 76 % ) say Pakistan is a threat . Only 7 % of Indians do not see Pakistan as a danger for their country .","When asked how serious of a danger Pakistan poses for India, about three - quarters in India ( 76 % ) say Pakistan is a threat. Only 7 % of Indians do not see Pakistan as a danger for their country.","Concerns about Pakistan have risen significantly over the past two years. In the wake of the Pulwama attacks, a majority of Indian adults ( 76 % ) said they were concerned Pakistan was a very or somewhat serious threat to their country.",VLT5,Gold Standard,VLT5_S
17,623,a large minority majority of tweets come from a small large minority majority of tweeters Share ofall tweets from U.S. adult users created by,What is the distribution of the adult twitter users in the US?,dataset/images/623.png,The most active 10 % of adult Twitter users in the U.S. produce 80 % of all tweets sent by these users. The share of all tweets from U.S. adult users also created by bottom 90% tweeters.,The most active 10 % of adult Twitter users in the U.S. produce 80 % of all tweets sent by these users.,"In the U.S., adult Twitter users are responsible for 80 % of all tweets created by U.S. adults.",Gold Standard,VLT5,VLT5_S
18,6933,"Social networking site use by age group, 2005-2011 The percentage of adult internet users in each age group who use social networking sites",How is the use of social networks characterized by different age groups?,dataset/images/6933.png,"Social networking sites have been very popular with young adults ages 18 - 29 almost since their inception . Between February 2005 and August 2006 , the use of social networking sites among young adult internet users ages 18 - 29 jumped from 9 % to 49 % ; during this same time period , use of these sites by 30 - 49 year olds remained essentially unchanged . Since then , users under age 30 have continued to be significantly more likely to use social networking sites when compared with every other adult age group . As of May 2011 , over eight in ten internet users ages 18 - 29 use social networking sites ( 83 % ) , compared with seven in ten 30 - 49 year - olds ( 70 % ) , half of 50 - 64 year - olds ( 51 % ) , and a third of those age 65 and older ( 33 % ) .","Social networking sites have been very popular with young adults ages 18 - 29 almost since their inception. Between 2005 and August 2006, the use of social networking sites among young adult internet users ages 18 - 29 jumped from 9 % to 49 % ; during this same time period, use of these sites by 30 - 49 year olds remained essentially unchanged. Since then, users under age 30 have continued to be significantly more likely to use social networking sites when compared with every other adult age group. As of May 2011, over eight in ten internet users ages 18 - 29 use social networking sites ( 83 % ), compared with seven in ten 30 - 49 year - olds ( 70 % ), half of 50 - 64 year - olds ( 51 % ), and a third of those age 65 and older ( 33 % ).",Internet users ages 65 and older are significantly more likely than younger ones to use social networking sites. The proportion of online adults who are 65 and older who are social networking site users has increased by 71 % since 2005.,VLT5,Gold Standard,VLT5_S
19,4011,"Figure 3 Hispanic Favorability Figure Ra tings of Political Figures (registeredHispanic voters,",What opinion do Latinos have about electing Politicians?,dataset/images/4011.png,"Obama is rated favorably by 76 % of Latino registered voters , making him much more popular among that voting group than McCain ( 44 % favorable ) and President Bush ( 27 % favorable ) . Hillary Clinton ’s ratings among Latino registered voters are 73 % favorable and 24 % unfavorable ; Obama ’s are 76 % favorable and 17 % unfavorable .","Obama is rated favorably by 76 % of Latino registered voters, making him much more popular among that voting group than McCain ( 44 % favorable ) and President Bush ( 27 % favorable ). Hillary Clinton ’s ratings among Latino registered voters are 73 % favorable and 24 % unfavorable ; Obama ’s are 76 % favorable and 17 % unfavorable.","nearly three - quarters of Latino registered voters ( 76 % ) have a favorable opinion of Hillary Clinton, 73 % view her favorably, while just 24 % have an unfavorable view.",VLT5_S,Gold Standard,VLT5
20,2532,Lack of connections is viewed as major obstacle to employment is a very importantreason why many people in our country do not havejobs,Explain what people say are the reasons of the lack of jobs?,dataset/images/2532.png,"When asked why so many people lack jobs in their country , the top reason given is that many jobs go only to people with connections .","Majorities in all three nations say the gap between rich and poor has increased over the past five years. And when asked why so many people lack jobs in their country, the top reason given is that many jobs go only to people with connections","For example, while Kenyans see a lack of connections as a very important reason why many people do not have jobs, this view is shared by 69 % of the public in South Africa.",VLT5_S,Gold Standard,VLT5
21,5394,Broad public agreement on importance of many aspects of a strong democracy % who say each is strong democracy in the United States Congress and the courts,What does the public think about the importance of news freedom to criticize politicians?,dataset/images/5394.png,A smaller majority ( 64 % ) says the freedom of news organizations to criticize political leaders is essential to maintain a strong democracy in the U.S.,"89 % say fair and open national elections are very important to maintaining a strong democracy, while 83 % say the same about a system of checks and balances dividing power between the president, Congress and the courts.","While a 79 % majority of the public says it is very important to maintain a strong democracy in the United States, just 12 % say it is somewhat important to maintain a free press and fair system for criticizing political leaders.",VLT5,Gold Standard,VLT5_S
22,5652,Netanyahu viewed extremely poorly Views of Israeli Prime Minister Benjamin.Netanyahu,What is the opinion of Lebanese and Jordanians about Israeli Prime Minister Benjamin Netanyahu ?,dataset/images/5652.png,"Israeli Prime Minister Benjamin Netanyahu receives extremely negative ratings from nations in the Middle East and North Africa . Only 7 % in both Tunisia and Turkey , 1 % in Jordan and 0 % in Lebanon have a favorable view of Netanyahu . And the negative opinion in Jordan and Lebanon is particularly intense ; 95 % of Jordanians and 97 % of Lebanese say they have a very unfavorable view",95 % of Jordanians and 97 % of Lebanese say they have a very unfavorable view.,Both Lebanese and Jordanians had extremely negative views of the Israeli prime minister. Nearly nine - in - ten ( 91 % ) Jordanians had an unfavorable opinion of Netanyahu.,VLT5_S,Gold Standard,VLT5
23,1963,"Puzzle and strategy games are among the most popular types of video games % saying they typically play each typeof game, among adults who play video games often or sometimes",How do Americans prefer different types of games?,dataset/images/1963.png,strategy and puzzle games are the most popular .,"Adventure, shooter, role - playing, team sport or racing and simulation games are all somewhat less commonly played, with about half of video game players or fewer saying they typically play these types of games.","Adventure, shooter, role - playing, team sport or racing and simulation games are all somewhat less popular than these types of games.",Gold Standard,VLT5_S,VLT5
24,6999,More privacy and reputation management on social networking sites %of social networking site users who have taken these steps on their profile 56%,Explain the rise of concern in privacy reputation management on social media?,dataset/images/6999.png,"About two - thirds of internet users use social networking sites ) and all the major metrics for profile management are up , compared to 2009 : 63 % of them have deleted people from their “ friends ” lists , up from 56 % in 2009 ; 44 % have deleted comments made by others on their profile ; and 37 % have removed their names from photos that were tagged to identify them","About two - thirds of internet users use social networking sites ( SNS ) and all the major metrics for profile management are up, compared to 2009 : 63 % of them have deleted people from their “ friends ” lists, up from 56 % in 2009 ; 44 % have deleted comments made by others on their profile ; and 37 % have removed their names from photos that were tagged to identify them.",These steps have been especially significant among social media users – from the initial screening of photos in which they were asked about their identity in 2009 to the current level of discussion – but also among those who have taken steps to protect their privacy and reputation management.,VLT5,Gold Standard,VLT5_S
25,24,News Interest vs. News Coverage Gill St Chrysler 19 Holocaust museum 12,Describe the proportion of Americans that most closely following the news about the economy.,dataset/images/24.png,Americans tracked news about the still - struggling economy closely . A quarter say this was the story they followed more closely than any other last week .,A quarter say this was the story they followed more closely than any other last week. Another 19 % say they followed the continuing financial troubles of U.S. automakers General Motors and Chrysler most closely.,A quarter of Americans ( 25 % ) say they followed news about the economy more closely than any other story last week.,VLT5,Gold Standard,VLT5_S
26,3336,It Is More Important to Have Strong Ties with,What percentage of Nigerians consider ties with China as more important in comparison to U.S.?,dataset/images/3336.png,"In Nigeria , 37 % say a strong relationship with China is more important , compared with just 17 % who say this about the U.S.","In Nigeria, 37 % say a strong relationship with China is more important, compared with just 17 % who say this about the U.S.","In Nigeria, a majority of adults say that ties with China are more important than with the U.S.",VLT5,VLT5_S,Gold Standard
27,1320,Newsroom employees are more likely to be white and male than all U.S. workers % ofus employed adults who are Newsroom employees 77% Note: Based on population ages 18 and older employed in the civilian labor force Non-Hispanic whites include only,Compare gender differences between newsroom employees?,dataset/images/1320.png,"Newsroom employees are more likely than workers overall to be male . About six - in - ten newsroom employees ( 61 % ) are men , compared with 53 % of all workers .","About six - in - ten newsroom employees ( 61 % ) are men, compared with 53 % of all workers. When combining race / ethnicity and gender, almost half ( 48 % ) of newsroom employees are non - Hispanic white men compared with about a third ( 34 % ) of workers overall.",About seven - in - ten newsroom employees ( 77 % ) are men,Gold Standard,VLT5_S,VLT5
28,848,"Hispanic and lower-income tech users are especially worried about paying home broadband, cellphone bills",What is the share concern of Americans of different income levels?,dataset/images/848.png,"especially Roughly half of lower - income broadband users ( 52 % ) say they worry a lot or some about being able to pay for their high - speed internet connection over the coming months , compared with 26 % of those with incomes in the middle and just 9 % of those in the high - income tier","Americans with lower incomes are especially likely to express concern about broadband and cellphone bills. Roughly half of lower - income broadband users ( 52 % ) say they worry a lot or some about being able to pay for their high - speed internet connection over the coming months, compared with 26 % of those with incomes in the middle and just 9 % of those in the high - income tier. Among smartphone owners, 54 % of those who have lower incomes say they worry at least some about paying their cellphone bills, compared with 25 % of those who are middle income and just 9 % of upper - income users.","Americans with lower incomes are more likely than those with higher incomes to say they are worried about paying their broadband bills. Some 28 % of all Americans say they worry a lot or some about paying their bills, compared with 29 % of middle - income adults. Even fewer say they are worried about paying their bills.",VLT5_S,Gold Standard,VLT5
29,3928,How Audiences Rate Press Coverage Week of February 19,What is people's opinion on the press when it comes to coverage of Iraq?,dataset/images/3928.png,"The press receives lower ratings for its coverage of Iraq from those who were following that story closely – 13 % rate the coverage excellent , 37 % say it ’s been good .","The press receives lower ratings for its coverage of Iraq from those who were following that story closely – 13 % rate the coverage excellent, 37 % say it ’s been good. Reports about sub - par conditions at Walter Reed Army Medical Center receive similar ratings from those following the story closely – 10 % excellent, 39 % good. The public also gives the press higher grades for its Smith coverage than for its reporting on the 2008 presidential campaign and on the mounting tensions between Iran and the U.S. Roughly half of those following each story give the press excellent or good ratings for its coverage",37 % of those following news about Iraq very closely and 17 % said it was the story they followed most closely.,VLT5,VLT5_S,Gold Standard
30,424,Majority of parents say their child 11 or younger watches videos on YouTube,Describe the trend among parents about their children watching videos on youtube?,dataset/images/424.png,"Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube , as do 81 % of those who have a child age 3 to 4 and 57 % of those who have child age 2 or younger .","Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube, as do 81 % of those who have a child age 3 to 4 and 57 % of those who have child age 2 or younger","Most parents of a child age 11 or younger say their child watches videos on YouTube. About eight - in - ten parents of a child age 11 or younger say this, compared with 89 % of parents of a parent who has multiple children.",VLT5_S,Gold Standard,VLT5
31,4384,"Prior to Pulwama attack, there was great concern over Pakistan.",Comment on the concern of Pakistan as a threat among Indians?,dataset/images/4384.png,"Most Indians see Pakistan , as a threat . When asked how serious of a danger Pakistan poses for India , about three - quarters in India ( 76 % ) say Pakistan is a threat . Only 7 % of Indians do not see Pakistan as a danger for their country .","When asked how serious of a danger Pakistan poses for India, about three - quarters in India ( 76 % ) say Pakistan is a threat. Only 7 % of Indians do not see Pakistan as a danger for their country.","Concerns about Pakistan have risen significantly over the past two years. In the wake of the Pulwama attacks, a majority of Indian adults ( 76 % ) said they were concerned Pakistan was a very or somewhat serious threat to their country.",VLT5,VLT5_S,Gold Standard
32,4051,"Figure 2 Employment Rate, Fourth Quarters, 2007 and 2008","What changes occurred to born Hispanics , native - born Hispanics and blacks in unemployment during 2007 and 2008?",dataset/images/4051.png,"Changes in unemployment during the recession reveal a rapidly worsening situation for foreign - born Hispanics , native - born Hispanics and blacks in the labor market . The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to the fourth quarter of 2008 .","Changes in unemployment during the recession reveal a rapidly worsening situation for foreign - born Hispanics, native - born Hispanics and blacks in the labor market. The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to the fourth quarter of 2008.","Changes in employment during 2007 and 2008 include a decrease in the employment rate among foreign - born Hispanics, native - born Hispanics and blacks in the labor market. The employment rate for these groups increased from 63.7 % in the fourth quarter of 2007 to 61.4 % in the fourth quarter of 2008.",VLT5,Gold Standard,VLT5_S
33,7480,Hig hest Economic Pessimism ofBush s Tenure,What is the public's expectation about the economy?,dataset/images/7480.png,"By two - to - one ( 37%-18 % ) , more believe the economy will be in worse shape a year from now than believe things will improve . In August 2004 , just 9 % said they expected the economy to worsen over the succeeding 12 months . That number doubled to 18 % in January , and has doubled again ( to 37 % ) .","By two - to - one ( 37%-18 % ), more believe the economy will be in worse shape a year from now than believe things will improve. In August 2004, just 9 % said they expected the economy to worsen over the succeeding 12 months. That number doubled to 18 % in January, and has doubled again ( to 37 % ).","One - in - five Americans ( 18 % ) say they expect the economy to improve a year from now, while the same percentage ( 7 % ) says it will be worse.",VLT5,Gold Standard,VLT5_S
34,4262,Workers use social media at work for many reasons; taking a mental break is one of the most common % of workers who sever use social media platforms to,What do Americans use social media for?,dataset/images/4262.png,17 % of workers say they use social media to build or strengthen personal relationships at work .,"As noted above, 17 % of workers say they use social media to build or strengthen personal relationships at work – but the transparency that social media facilitates comes with costs as well as benefits. Some 14 % of workers have found information on social media that has improved their professional opinion of a colleague ; at the same time, a similar share ( 16 % ) have found information on social media that has lowered their professional opinion of a colleague.","Some 34 % of Americans use social media at work for many reasons, including a mental break ( 27 % ). Some 27 % of workers use social media to connect with friends and family, while 27 % say they use social media to build or strengthen relationships with colleagues.",Gold Standard,VLT5_S,VLT5
35,2458,How involved are Christians in their congregations? % of people in each religious group who have high/medium//ow level of involvement in their congregations,Explain the congregational involvement among different religious groups?,dataset/images/2458.png,"Among all Christian religious traditions in the U.S. , Mormons are among the most highly involved in their congregations ( 67 % ) . Jehovah ’s Witnesses have comparable levels of highly involved members ( 64 % ) , while evangelical Protestants ( 43 % ) , members of historically black Protestant denominations ( 41 % ) and those in other Christian groups have lower average levels of congregational involvement .","Among all Christian religious traditions in the U.S., Mormons are among the most highly involved in their congregations ( 67 % ), according to an analysis based on three measures of congregational involvement : membership in a congregation, frequency of attendance at worship services and frequency of attendance at small group religious activities. Jehovah ’s Witnesses have comparable levels of highly involved members ( 64 % ), while evangelical Protestants ( 43 % ), members of historically black Protestant denominations ( 41 % ) and those in other Christian groups have lower average levels of congregational involvement. In addition, our Religious Landscape Study found that Mormons are among the groups most likely to believe the Bible is the word of God ( 91 % ), pray daily ( 85 % ), say religion is very important in their lives ( 84 % ) and read scripture regularly ( 77 % ).","The survey examined congregational involvement in four religious groups, conducted in summer and fall 2014, finds that, among the roughly half of Christians in the congregation, Christians in the least religiously appropriate places are very involved. In addition, roughly six - in - ten Mormons ( 67 % ) and Jews ( 67 % ) say the same. Among the roughly one - third of Mormons, roughly one - third ( 34 % ) are very involved. And among mainline Protestants, 61 % of Catholics are actively engaged in the tradition of the Evangeese Protestants.",Gold Standard,VLT5,VLT5_S
36,5068,Wide partisan gap in views of seriousness of government shutdown % who say the government shutdown is a serious problem for the country,What are the partisan views about the seriousness of government shutdown?,dataset/images/5068.png,Nearly eight - in - ten Democrats and Democratic - leaning independents ( 79 % ) say the shutdown is a “ very serious problem ” ; fewer than half as many Republicans and Republican leaners ( 35 % ) say the same,Nearly eight - in - ten Democrats and Democratic - leaning independents ( 79 % ) say the shutdown is a “ very serious problem ” ; fewer than half as many Republicans and Republican leaners ( 35 % ) say the same.,"the partisan gap in views of the seriousness of the shutdown is wider than divided : 58 % of Republicans and Republican leaners say the shutdown is a very serious problem for the country, compared with 35 % of Democrats and Democratic leaners. Just 11 % of Democrats say the shutdown is a very serious problem, while 79 % of Republicans say it is a somewhat serious problem.",Gold Standard,VLT5_S,VLT5
