number,id,title,question,img,Gold Standard,BART,T5,Summary 1,Summary 2
10,3361,"Different Questions, Slightly Different",What is the public opinion about men's preferences over co-workers?,dataset/images/3361.png,about three - in - ten ( 32 % ) say men generally prefer to work with men while only 7 % say they favor women co - workers .   An even larger share of women—40%–of women say men prefer men as co - workers while 9 % say men would rather work with women,"Among male respondents, about three - in - ten ( 32 % ) say men generally prefer to work with men while only 7 % say they favor women co - workers.","Among male respondents, about three - in - ten ( 32 % ) say men generally prefer to work with men while only 7 % say they favor women co - workers.",BART,T5
11,2186,"Older adults, conservative Republicans most likely to say U.S. is top nation Statement that bestdescribes opinion of the US (%, U.S sta nds a bove all other countries in the world US one of greatest countries along with others There are other co untries that a re better than U.S",Describe the difference in views of U.S. global standing by race and ethnicity?,dataset/images/2186.png,"There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations . The majority view across each of these groups is that the U.S. is a great country , on par with some other countries .",Older adults are more likely than younger adults to say that the U.S. is the nation ’s greatest nation along with others in the world.,There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ).,Gold Standard,BART
12,4484,"Broadband use at home has risen fairly consistently since the Pew Internet Project began to measure it in 2000, but growth rate has slowed somewhat in the general population.",Describe what has happened in the use of broadband internet since 2000?,dataset/images/4484.png,"Broadband use at home has risen fairly consistently since the Pew Internet Project began to measure it in 2000 , but growth rate has slowed somewhat in the general population .","Broadband use at home has risen fairly consistently since 2000, but growth rate has slowed somewhat in the general population","Broadband use at home has risen fairly consistently since 2000, but growth rate has slowed somewhat in the general population.",BART,Gold Standard
13,1847,"Democrats lead on several issues; public is divided on which party can better handle economy, deficit Which party could do a betterjob dealing with (%)?",What are the current views on which party can better deal with taxes?,dataset/images/1847.png,"Currently , 43 % say the Democrats can better deal with taxes , while 36 % prefer the Republican Party","The public is divided on which party can better deal with taxes. About six - in - ten Democrats and Democratic leaners ( 38 % ) say either party can do a better job dealing with taxes, while just 21 % say neither.","43 % say the Democrats can better deal with taxes, while 36 % prefer the Republican Party.",Gold Standard,BART
14,1909,"Jews, Hindus, Muslims most likely to Jews, live experience in Hindus, countries where their groups likely experience harassment % of each religious group's population living in countries where harassment population of their group occurred in 2015",What is the distribution of harassment victims among religious groups?,dataset/images/1909.png,"For instance , because of their dense concentration in a small number of countries , 99 % of Jews and Hindus lived in nations where members of their groups were harassed . And despite being one of the most geographically dispersed religious groups , 97 % of Muslims lived in countries where harassment of Muslims occurred in 2015 . ( By comparison , 78 % of Christians lived in places where Christians were harassed . )","95 % of Muslims lived in countries where harassment of Muslims occurred in 2015. ( By comparison, 78 % of Christians lived in places where Christians were harassed. )","Despite being one of the most geographically dispersed religious groups, 97 % of Muslims lived in countries where harassment of Muslims occurred in 2015. ( By comparison, 78 % of Christians lived in places where Christians were harassed. )",BART,Gold Standard
15,4419,Share of Americans who see the federal budget deficit as a very big problem budget has fallen since 2018 very % who say the federal budget deficit is a vvery big problem in the country today,What are trends in U.S. adults identifying the federal budget deficit a very big problem since 2018?,dataset/images/4419.png,"In a Pew Research Center survey conducted June 16 - 22 , just under half of U.S. adults ( 47 % ) called the deficit “ a very big problem ” in the country today – down from 55 % in the fall of 2018 .",just under half of U.S. adults ( 47 % ) called the deficit “ a very big problem ” in the country today – down from 55 % in the fall of 2018.,just under half of U.S. adults ( 47 % ) called the deficit “ a very big problem ” in the country today – down from 55 % in the fall of 2018.,Gold Standard,BART
16,5610,"Number of refugees admitted each fiscal year into the U.S., in thousands, by religious affiliation",What is the trend in religious affiliation of refugees admitted to the U.S ?,dataset/images/5610.png,"Refugees with no religious affiliation were 5 % of all refugees admitted to the U.S. in fiscal 2002 . Since then , the share of refugees with no religious affiliation has decreased , amounting to less than 1 % of refugees entering the U.S. during fiscal 2017 .","In recent years, the share of refugees entering the U.S. who are affiliated with religions other than Christianity and Islam has declined. But from 2009 to 2012, between about a quarter and a third of refugees entered each year were adherents of other religions, including several thousand Hindus ( mostly from Bhutan ) and Buddhists ( mostly in Burma and Bhutan","In recent years, the share of refugees entering the U.S. who are affiliated with religions other than Christianity and Islam has declined. But from 2009 to 2012, between about a quarter and a third of refugees entered each year were adherents of other religions, including several thousand Hindus ( mostly from Bhutan ) and Buddhists ( mostly to Burma and Bhutan",BART,T5
17,4419,Share of Americans who see the federal budget deficit as a very big problem budget has fallen since 2018 very % who say the federal budget deficit is a vvery big problem in the country today,What are trends in U.S. adults identifying the federal budget deficit a very big problem since 2018?,dataset/images/4419.png,"In a Pew Research Center survey conducted June 16 - 22 , just under half of U.S. adults ( 47 % ) called the deficit “ a very big problem ” in the country today – down from 55 % in the fall of 2018 .",just under half of U.S. adults ( 47 % ) called the deficit “ a very big problem ” in the country today – down from 55 % in the fall of 2018.,just under half of U.S. adults ( 47 % ) called the deficit “ a very big problem ” in the country today – down from 55 % in the fall of 2018.,Gold Standard,T5
18,5763,Cellphone sample weight has smaller design effect than full sample weight Approximate survey designeffects fover time,How does the cell phone sample and full sample compare in terms of design?,dataset/images/5763.png,"the average approximate design effect of the experimental weight using just the cellphone sample was 1.22 , which compares with an average of 1.32 using the actual survey weight based on both the landline and cellphone samples .","Between 2012 and 2015, the average approximate design effect of the experimental weight using just the cellphone sample was 1.22.","Between 2012 and 2015, the average approximate design effect of the experimental weight using just the cellphone sample was 1.22.",Gold Standard,BART
19,6102,"Technology and Internet Items Show Sizeable Differences Comparisons of Web-only and total sample, in %",Explain the differences between web only and web + mail survey respondents.,dataset/images/6102.png,"A Web - only survey estimated that 82 % of the public uses the internet on a daily basis , while the full sample ( including non - internet users ) finds 69 % go online daily . Similarly , there is a 10 - point difference in the percentage of people who report having sent an email or text message to a friend or relative yesterday ( 79 % among the Web sample vs. 69 % among the full sample ) . There is also a 10 - point difference in reported ownership of a laptop or desktop computer ( 90 % of the Web sample vs. 80 % overall ) .","Despite the sizeable differences between the Web and mail samples, most survey estimates produced by Web surveys will be a little different from those produced by surveys that cover the entire public. Of 406 separate estimates taken from nine waves of the American Trends Panel, just nine of them differed by 5 percentage points or more.","Despite the sizeable differences between the Web and mail samples, most survey estimates produced by Web surveys will be a little different from those produced by surveys that cover the entire public. Of 406 separate estimates taken from nine waves of the American Trends Panel, just nine of them differed by 5 percentage points or more. Perhaps not surprisingly, all nine are related to internet or digital technology use. A Web - only survey estimated that 82 % of the public uses the internet on a daily basis, while the full sample ( including non - internet users ) finds 69 % go online daily. Similarly, there is a 10 - point difference in the percentage",BART,T5
20,5068,Wide partisan gap in views of seriousness of government shutdown % who say the government shutdown is a serious problem for the country,What are the partisan views about the seriousness of government shutdown?,dataset/images/5068.png,Nearly eight - in - ten Democrats and Democratic - leaning independents ( 79 % ) say the shutdown is a “ very serious problem ” ; fewer than half as many Republicans and Republican leaners ( 35 % ) say the same,Nearly eight - in - ten Democrats and Democratic - leaning independents ( 79 % ) say the shutdown is a “ very serious problem ”.,Nearly eight - in - ten Democrats and Democratic - leaning independents ( 79 % ) say the shutdown is a “ very serious problem ”.,T5,Gold Standard
21,4863,Majority of Americans say stricter environmental laws are 'worth the cost % ofU.S adults who say,Describe the opinion of Americans in 2019 on the costs of environmental regulations?,dataset/images/4863.png,"A 63 % majority of Americans say stricter environmental regulations are worth the cost . When asked to choose , most Americans say stricter environmental regulations are worthwhile , while 30 % think such laws and regulations cost too many jobs and hurt the economy .","As of early 2019, 81 % of Democrats ( and independents who lean to the Democratic Party ) had a positive view of stricter environmental regulations.",A 63 % majority of Americans say stricter environmental regulations are worth the cost.,T5,BART
22,7286,News Coverage vs News Interest Health care reform 66,Comment on the top news headlines based on the attention they gathered from public?,dataset/images/7286.png,Two - thirds of Americans ( 66 % ) say they followed the health care debate more closely than any other major news story .,Two - thirds of Americans ( 66 % ) say they followed the health care debate more closely than any other major news story last week. Another 5 % says they followed news about vandalism and threats directed at Democrats who voted for the legislation most closely.,Two - thirds of Americans ( 66 % ) say they followed the health care debate more closely than any other major news story last week.,T5,BART
23,2199,More than a quarter of Americans have chosen to not post something online after seeing harassment of others % of USS adults who have harassing behaviors directed toward others online,What reactions have Americans had after witnessing online harassment?,dataset/images/2199.png,"Roughly one - quarter of Americans ( 27 % ) say they have chosen not to post something after witnessing online harassment , while a similar share ( 28 % ) say they adjusted their privacy settings after seeing this type of online behavior .",Roughly one - quarter of Americans ( 27 % ) say they have chosen not to post something after witnessing online harassment. 13 % of U.S. adults have stopped using an online service altogether after seeing others being harassed.,Witnessing online harassment has led some bystanders to change their online behavior. Roughly one - quarter of Americans ( 27 % ) say they have chosen not to post something after witnessing online harassment. 13 % of U.S. adults have stopped using an online service altogether after seeing others being harassed.,BART,T5
24,3968,Neg ative Characteristics Associated with Muslims (Non-Mus lim Respondents) Positive Characteristics Ass ociated with Muslims,What are opinions about the negative and positive characteristics associated with Muslims?,dataset/images/3968.png,"The results show that many non - Muslims associate negative traits with Muslims . Majorities in Nigeria , India , Spain , Russia , and Germany see Muslims as violent . Large numbers , including majorities in India , Nigeria , and Russia , also consider Muslims arrogant . Many also associate selfishness with Muslims , although India is the only country where a majority does so . Non - Muslims are less likely to rate Muslims as greedy or immoral — in France for instance , only 10 % say Muslims are greedy and just 18 % label Muslims as immoral . The data on Muslim attitudes towards Westerners also reveal a variety of negative views . In the five majority Muslim countries , as well as Nigeria , at least 40 % of Muslims characterize Westerners as arrogant , violent , greedy , and immoral ; meanwhile , relatively few say Westerners are generous or honest . Muslims in these countries are also especially likely to say Westerners are selfish — in all six countries , majorities suggest selfishness is common among people in Europe and the United States . Negative assessments of Westerners are fairly common across all six of these countries , although they are slightly more prevalent in Jordan and Indonesia .","A majority of Muslims ( 59 % ) say they are honest, self - reliant, honest and honest.","Majorities in Nigeria, India, Spain, Russia, and Germany see Muslims as violent. Large numbers, including majorities in India, Nigeria, and Russia, also consider Muslims arrogant.",Gold Standard,T5
25,7480,Hig hest Economic Pessimism ofBush s Tenure,What is the public's expectation about the economy?,dataset/images/7480.png,"By two - to - one ( 37%-18 % ) , more believe the economy will be in worse shape a year from now than believe things will improve . In August 2004 , just 9 % said they expected the economy to worsen over the succeeding 12 months . That number doubled to 18 % in January , and has doubled again ( to 37 % ) .","By two - to - one ( 37%-18 % ), more believe the economy will be in worse shape a year from now than believe things will improve. Just 9 % said they expected the economy to worsen over the succeeding 12 months. That number doubled to 18 % in January, and has doubled again ( to 37 % ).","By two - to - one ( 37%-18 % ), more believe the economy will be in worse shape a year from now than believe things will improve.",BART,T5
26,3748,"Most teachers give students modest ratings of good' or 'fair' when it comes to specific research skills Overall, how would you rate your students on each of the following?",What is the situation on the marks students receive for their patience in determination in looking for information that is hard to find?,dataset/images/3748.png,"Students receive the lowest marks for “ patience and determination in looking for information that is hard to find , ” with 43 % of teachers rating their students “ poor ” in this regard , and another 35 % rating their students “ fair . ”",Students receive the highest marks from these teachers for their ability to use appropriate and effective search queries and their understanding of how online search results are generated.,"Students receive the lowest marks for “ patience and determination in looking for information that is hard to find, ” with 43 % of teachers rating their students “ poor ” in this regard.",Gold Standard,BART
27,1233,Share of adults living in middle-income households is unchanged since 2011,Describe the changes in American income level from 1971 to 2011?,dataset/images/1233.png,"From 1971 to 2011 , the share of adults in the middle class fell by 10 percentage points . But that shift was not all down the economic ladder . the increase in the share of adults who are upper income was greater than the increase in the share who are lower income over that period , a sign of economic progress overall .",About half ( 52 % ) of American adults lived in middle - class households in 2016. This is virtually unchanged from the 51 % who were middle class in 2011.,About half ( 52 % ) of American adults lived in middle - class households in 2016. This is virtually unchanged from the 51 % who were middle class in 2011.,Gold Standard,T5
28,4545,Nostalgia for,How do Russians feel about the Soviet Union?,dataset/images/4545.png,Half of Russians agree with the statement “ it is a great misfortune that the Soviet Union no longer exists ; ” 36 % disagree .,Half of Russians also agree with the statement “ it is a great misfortune that the Soviet Union no longer exists ; ” 36 % disagree.,Half of Russians agree with the statement “ it is a great misfortune that the Soviet Union no longer exists ; ” 36 % disagree.,Gold Standard,BART
29,1201,Majority of Americans say higher education is going in wrong direction,What do the majority of Americans say about higher education?,dataset/images/1201.png,"About six - in - ten Americans ( 61 % ) say the higher education system in the United States is going in the wrong direction , according to a new Pew Research Center survey .",About six - in - ten Americans ( 61 % ) say the higher education system in the United States is going in the wrong direction.,About six - in - ten Americans ( 61 % ) say the higher education system in the United States is going in the wrong direction.,T5,BART
30,2458,How involved are Christians in their congregations? % of people in each religious group who have high/medium//ow level of involvement in their congregations,Explain the congregational involvement among different religious groups?,dataset/images/2458.png,"Among all Christian religious traditions in the U.S. , Mormons are among the most highly involved in their congregations ( 67 % ) . Jehovah ’s Witnesses have comparable levels of highly involved members ( 64 % ) , while evangelical Protestants ( 43 % ) , members of historically black Protestant denominations ( 41 % ) and those in other Christian groups have lower average levels of congregational involvement .","Among all Christian religious traditions in the U.S., Mormons are among the most highly involved in their congregations ( 67 % )","Among all Christian religious traditions in the U.S., Mormons are among the most highly involved in their congregations ( 67 % )",T5,Gold Standard
31,7674,News Interest vs. News Coverage April 28 May 4 Coverage,Discuss the attention of people to major headlines and their coverage.,dataset/images/7674.png,"The presidential campaign once again was the most heavily covered story of the week , accounting for 38 % of all news coverage . For the public , however , the rising price of gas , which emerged as a prominent issue in the campaign , was the top news story . More than six - in - ten ( 63 % ) say they followed news about gas prices very closely and 30 % cited it as the story they followed most closely last week . The public also closely tracked news about the national economy : 43 % say the followed economic news very closely with 20 % citing it as the story they followed most closely last week . The economy was the second most covered story , accounting for 10 % of news coverage .","The presidential campaign once again was the most heavily covered story of the week, accounting for 38 % of all news coverage. For the public, however, the rising price of gas, which emerged as a prominent issue in the campaign, was the top news story. More than six - in - ten ( 63 % ) say they followed news about gas prices very closely and 30 % cited it as the story they followed most closely last week.","The presidential campaign once again was the most heavily covered story of the week, accounting for 38 % of all news coverage. For the public, however, the rising price of gas, which emerged as a prominent issue in the campaign, was the top news story. More than six - in - ten ( 63 % ) say they followed news about gas prices very closely and 30 % cited it as the story they followed most closely last week.",BART,T5
32,2008,Widespread disapproval of Trump 's signature policy proposals of President Donald Trump 's proposed policy to,How Trump was seen by the international public?,dataset/images/2008.png,Global publics oppose some of Trump ’s major policies .,"The proposed border wall between the U.S. and Mexico has been a high - profile position for Trump since he declared his candidacy for president, and more than nine - in - ten Mexicans oppose it.","Global publics oppose some of Trump ’s major policies. We tested five of Trump's major national security and foreign policy proposals – withdrawing from the Iran nuclear deal, placing tighter restrictions on people entering the U.S. from certain majority - Muslim nations, pulling out of international climate change agreements, withdrawing from trade deals and building a wall on the Mexican border – and with a few exceptions, they meet with broad disapproval around the world",BART,Gold Standard
33,968,"Majorities of blacks say they've faced discrimination, but those with college experience are more likely to say this",Describe views of American Jews on Trump favoring Israelis?,dataset/images/968.png,"Roughly eight - in - ten blacks with at least some college experience ( 81 % ) say they 've experienced racial discrimination , at least from time to time , including 17 % who say this happens regularly","A majority of black adults say they have been discriminated against because of their race, but this varies by education. Roughly eight - in - ten blacks with at least some college experience ( 81 % ) say they ’ve experienced racial discrimination, at least from time to time, including 17 % who say this happens regularly","A majority of black adults say they have been discriminated against because of their race, but this varies by education. Roughly eight - in - ten blacks with at least some college experience ( 81 % ) say they ’ve experienced racial discrimination, at least from time to time, including 17 % who say this happens regularly",Gold Standard,BART
34,3745,Youth from 2008 Engagement Down Sharply from 2008 Engagement Given Quite a Lotof Thought to Election Following Campaign News Very Closely Definitely Plan to Vote This Year,How is the situation on engagement of young voters in the 2012 election?,dataset/images/3745.png,The share of voters younger than 30 who are following campaign news very closely is 18 % .,Young voters are significantly less engaged in this year ’s election than at a comparable point in 2008 and now lag far behind older voters.,"Young voters are significantly less engaged in this year ’s election than at a comparable point in 2008 and now lag far behind older voters in interest in the campaign and intention to vote. The share of voters younger than 30 who are following campaign news very closely is roughly half what it was at this point four years ago ( 18 %, down from 35 % )",Gold Standard,BART
35,6011,Russian Views of China and the U.S. Russians with afavorable view of,How have Russians' views of China and the U.S. changed?,dataset/images/6011.png,"China is gaining popularity in Russia as attitudes toward the U.S. turn sharply negative . In just the past two years , favorable views of China have jumped 17 percentage points among Russians , from 62 % in 2013 to an all - time high of 79 % today . Meanwhile , favorable views of the U.S. have taken a nosedive , falling from 51 % in 2013 , to 23 % in 2014 , to an all - time low of 15 % today .","China is gaining popularity in Russia as attitudes toward the U.S. turn sharply negative. In just the past two years, favorable views of China have jumped 17 percentage points among Russians, from 62 % in 2013 to an all - time high of 79 % today.","In just the past two years, favorable views of China have jumped 17 percentage points among Russians, from 62 % in 2013 to an all - time high of 79 % today",Gold Standard,BART
36,6729,Obama in 2nd Term Job approval by party,Describe the trend in Obama's support among Independents.,dataset/images/6729.png,"Since December 2012 , Obama has lost the most ground among independents : Currently , only 32 % of independents approve of his job performance . In December , 53 % approved .","Since December 2012, Obama has lost the most ground among independents : Currently, only 32 % of independents approve of his job performance while 61 % disapprove. In December, 53 % approved and 39 % disapproved.","Since December 2012, Obama has lost the most ground among independents : Currently, only 32 % of independents approve of his job performance while 61 % disapprove. In December, 53 % approved and 39 % disapproved.",T5,Gold Standard
37,5696,Support for same-sex marriage holds Support steady starter 2015 Supreme Court ruling % who allowing gays and lesbians to marry legally,What is the trend among Americans about supporting same-sex marriages since 2006 ?,dataset/images/5696.png,"Now , just over half of Americans ( 55 % ) say they favor allowing gays and lesbians to marry legally , while 37 % remain opposed , according to Pew Research Center ’s March poll . A decade ago , the balance of opinion was reversed : 55 % were opposed , while 35 % were in favor .","Just over half of Americans ( 55 % ) say they favor allowing gays and lesbians to marry legally, while 37 % remain opposed.","just over half of Americans ( 55 % ) say they favor allowing gays and lesbians to marry legally, while 37 % remain opposed, according to Pew Research Center ’s March poll. A decade ago, the balance of opinion was reversed : 55 % were opposed, while 35 % were in favor.",BART,Gold Standard
38,7445,"Variahility in Horse Race Po Ils,",How does the 2004 horse pool compare to 1984 and 1988?,dataset/images/7445.png,"The polling variability in 2004 falls close to that seen in 1984 and 1988 , when the average spread was 2.2 % and 2.3 % , respectively .","The polling variability in 2004 falls close to that seen in 1984 and 1988, when the average spread was 2.2 % and 2.3 %, respectively, and slightly above the election of 2000 ( at 1.7 % ).","The polling variability in 2004 falls close to that seen in 1984 and 1988, when the average spread was 2.2 % and 2.3 %, respectively, and slightly above the election of 2000 ( at 1.7 % ).",Gold Standard,T5
39,902,Majority of college educated women say women should have children before entering politics to be successful,"According to the view of the mothers who have children under 18, describe their opinion on women having children while entering politics?",dataset/images/902.png,"Mothers of children younger than 18 are more likely than other women to say a woman who aspires to high political office should wait until she ’s established in her political career before having children . About one - third ( 36 % ) of mothers say a woman who wants to reach this type of position is better off waiting to have children , compared with 26 % of those without children under 18",A majority of women who have children under 18 ( 49 % ) say it is better for a woman who wants to reach high political office to have children while entering politics.,"About one - third ( 32 % ) of less educated women, compared with 21 % of college graduates, say a woman who wants to reach high political office should wait until she is well established in her career to have children.",BART,T5
40,6102,"Technology and Internet Items Show Sizeable Differences Comparisons of Web-only and total sample, in %",Explain the differences between web only and web + mail survey respondents.,dataset/images/6102.png,"A Web - only survey estimated that 82 % of the public uses the internet on a daily basis , while the full sample ( including non - internet users ) finds 69 % go online daily . Similarly , there is a 10 - point difference in the percentage of people who report having sent an email or text message to a friend or relative yesterday ( 79 % among the Web sample vs. 69 % among the full sample ) . There is also a 10 - point difference in reported ownership of a laptop or desktop computer ( 90 % of the Web sample vs. 80 % overall ) .","Despite the sizeable differences between the Web and mail samples, most survey estimates produced by Web surveys will be a little different from those produced by surveys that cover the entire public. Of 406 separate estimates taken from nine waves of the American Trends Panel, just nine of them differed by 5 percentage points or more.","Despite the sizeable differences between the Web and mail samples, most survey estimates produced by Web surveys will be a little different from those produced by surveys that cover the entire public. Of 406 separate estimates taken from nine waves of the American Trends Panel, just nine of them differed by 5 percentage points or more. Perhaps not surprisingly, all nine are related to internet or digital technology use. A Web - only survey estimated that 82 % of the public uses the internet on a daily basis, while the full sample ( including non - internet users ) finds 69 % go online daily. Similarly, there is a 10 - point difference in the percentage",Gold Standard,T5
