number,id,title,question,img,Gold Standard,BART,T5,Summary 1,Summary 2
12,4505,Figure 1,What are views of Americans on dealing with unauthorized immigrants?,dataset/images/4505.png,"A small majority ( 53 % ) says they should pay a fine but not be deported . A small minority ( 13 % ) says they should be deported , and a larger minority ( 28 % ) says they should not be punished .","A new national survey by the Pew Hispanic Center, a project of the Pew Research Center, finds that Latinos are divided over what to do with these immigrants. A small majority ( 53 % ) says they should pay a fine but not be deported.","A new national survey by the Pew Hispanic Center, a project of the Pew Research Center, finds that Latinos are divided over what to do with these immigrants. A small majority ( 53 % ) says they should pay a fine but not be deported.",T5,Gold Standard
13,7073,Very Percent Closely Following Comparable Election with News 08,How did interest in the presidential campaign change between months?,dataset/images/7073.png,"In July , 29 % said they were following news about the presidential campaign very closely . That increased to 40 % in September","Through much of this election cycle – especially in recent months – interest in campaign news has been comparable to interest in the 2008 race. Four years ago, the percentage following presidential election news very closely dipped following the early primary fights between Barack Obama and Hillary Clinton but then ramped up sharply at the end of the summer as the parties met to nominate their candidates. Interest continued to rise until Election Day.","Through much of this election cycle – especially in recent months – interest in campaign news has been comparable to interest in the 2008 race. Four years ago, the percentage following presidential election news very closely dipped following the early primary fights between Barack Obama and Hillary Clinton but then ramped up sharply at the end of the summer as the parties met to nominate their candidates. Interest continued to rise until Election Day. Similarly in 2004, interest was increased following the conventions. In July, 29 % said they were following news about the presidential campaign very closely.",Gold Standard,T5
14,5784,Americans are more likely to read for the purpose of researching a specific topic or interest than five years ago % of USS adults who ever read,How can the act of reading for specific topic research be described among the north american people over the years?,dataset/images/5784.png,"the share of Americans who read in order to research specific topics of interest has increased by 10 - percentage points over that time frame , from 74 % to 84 %","the share of Americans who read in order to research specific topics of interest has increased by 10 - percentage points over that time frame, from 74 % to 84 %.","the share of Americans who read in order to research specific topics of interest has increased by 10 - percentage points over that time frame, from 74 % to 84 %.",BART,Gold Standard
15,2721,Teen Daters Usually Have Similar Communication Expectations as Their Significant Other,What are opinions of about Teen Daters ?,dataset/images/2721.png,"Overall , 85 % of teens in a romantic relationship expect to hear from their partner or significant other at least once a day , if not more often .    11 % expect to hear from their partner hourly . 35 % expect to hear something every few hours . 38 % expect to hear from their significant other once","Overall, 85 % of teens in a romantic relationship expect to hear from their partner or significant other at least once a day, if not more often","Overall, 85 % of teens in a romantic relationship expect to hear from their partner or significant other at least once a day, if not more often",Gold Standard,T5
16,5410,"Economics, environmental issues, cyberattacks top Americans' list of concerns about China How seriousof aproblem is",Tell some details about top Americans' list of concerns about China?,dataset/images/5410.png,"Although economic concerns about China have become less prevalent in recent years , many Americans are still worried about China ’s economic strength . The amount of American debt held by China , for instance , is the top concern among the eight sources of tension between the two countries included in the survey . Large majorities of Americans consider all eight of these issues at least a somewhat serious problem for the U.S. , and more than half say the amount of U.S. debt held by China , cyberattacks , China ’s environmental impact and job losses are very serious problems .","Although economic concerns about China have become less prevalent in recent years, many Americans are still worried about China ’s economic strength. The amount of American debt held by China, for instance, is the top concern among the eight sources of tension between the two countries included in the survey","about economic concerns about China have become less prevalent in recent years, many Americans are still worried about China ’s economic strength. The amount of American debt held by China, for instance, is the top concern among the eight sources of tension between the two countries included in the survey.",Gold Standard,T5
17,1053,"Personal trust ranges across a spectrum, with differences in levels of trust tied to race and ethnicity, age, education and household income",What are the Americans' views on social inequality?,dataset/images/1053.png,"On this scale , the share of whites who show high levels of trust ( 27 % ) is twice as high as the share of black ( 13 % ) and Hispanic adults ( 12 % ) . The older a person is , the more likely they are to tilt toward more trustful answers . The more education Americans have , and the greater their household income , the greater the likelihood they are high on the personal trust spectrum . Those with less income and education are markedly more likely to be low trusters . Strikingly , nearly half of young adults ( 46 % ) are in the low trust group – a significantly higher share than among older adults",A majority of Americans ( 41 % ) say they fall into different trust groups.,the share of whites who show high levels of trust ( 27 % ) is twice as high as the share of black ( 13 % ) and Hispanic adults ( 12 % ).,Gold Standard,BART
18,5410,"Economics, environmental issues, cyberattacks top Americans' list of concerns about China How seriousof aproblem is",Tell some details about top Americans' list of concerns about China?,dataset/images/5410.png,"Although economic concerns about China have become less prevalent in recent years , many Americans are still worried about China ’s economic strength . The amount of American debt held by China , for instance , is the top concern among the eight sources of tension between the two countries included in the survey . Large majorities of Americans consider all eight of these issues at least a somewhat serious problem for the U.S. , and more than half say the amount of U.S. debt held by China , cyberattacks , China ’s environmental impact and job losses are very serious problems .","Although economic concerns about China have become less prevalent in recent years, many Americans are still worried about China ’s economic strength. The amount of American debt held by China, for instance, is the top concern among the eight sources of tension between the two countries included in the survey","about economic concerns about China have become less prevalent in recent years, many Americans are still worried about China ’s economic strength. The amount of American debt held by China, for instance, is the top concern among the eight sources of tension between the two countries included in the survey.",BART,T5
19,4505,Figure 1,What are views of Americans on dealing with unauthorized immigrants?,dataset/images/4505.png,"A small majority ( 53 % ) says they should pay a fine but not be deported . A small minority ( 13 % ) says they should be deported , and a larger minority ( 28 % ) says they should not be punished .","A new national survey by the Pew Hispanic Center, a project of the Pew Research Center, finds that Latinos are divided over what to do with these immigrants. A small majority ( 53 % ) says they should pay a fine but not be deported.","A new national survey by the Pew Hispanic Center, a project of the Pew Research Center, finds that Latinos are divided over what to do with these immigrants. A small majority ( 53 % ) says they should pay a fine but not be deported.",T5,BART
20,6858,Views of Economic News Turn More Negative Mix of good and bad news,What the public said about economic news?,dataset/images/6858.png,"In the first two months of 2011 , the public saw more positive signs in economic news . In January , nearly seven - in - ten ( 68 % ) said they were hearing a mix of good and bad news about the economy , up from 55 % in December . Now perceptions are comparable to the latter half of 2010 .","In the first two months of 2011, the public saw more positive signs in economic news. In January, nearly seven - in - ten ( 68 % ) said they were hearing a mix of good and bad news about the economy, up from 55 % in December.","In January, nearly seven - in - ten ( 68 % ) said they were hearing a mix of good and bad news about the economy, up from 55 % in December. Now perceptions are comparable to the latter half of 2010.",T5,BART
21,5442,About a third of young adults in the U.S are living with a parent % of18 to 34-year olds by living arrang ement,What's the proportion of Americans who live with their parents?,dataset/images/5442.png,"For the first time in more than 130 years , young adults are more likely to be living in their parents ’ home than in any other living arrangement . In fact , a larger share of them are living with their parents than with a romantic partner – marking a significant historical shift . More broadly , young adult geographic mobility is at its lowest level in 50 years , even though today ’s young adults are less likely than previous generations of young adults to be married , to own a home or to be parents , all of which are traditional obstacles to moving .","young adults are more likely to be living in their parents ’ home than in any other living arrangement. In fact, a larger share of them are living with their parents than with a romantic partner – marking a significant historical shift. More broadly, young adult geographic mobility is at its lowest level in 50 years, even though today ’s young adults are less likely than previous generations of young adults to be married, to own a home or to be parents.","young adults are more likely to be living in their parents ’ home than in any other living arrangement. In fact, a larger share of them are living with their parents than with a romantic partner – marking a significant historical shift. More broadly, young adult geographic mobility is at its lowest level in 50 years, even though today ’s young adults are less likely than previous generations of young adults to be married, to own a home or to be parents, all of which are traditional obstacles to moving",T5,BART
22,6845,Gun Views Remain Divided More important to Control gun ownership,What are American's views on gun ownership?,dataset/images/6845.png,"there is no significant change in public views on the issue of gun control and gun rights . Currently , 49 % of Americans say it is more important to protect the right of Americans to own guns , while 46 % say it is more important to control gun ownership . In 2010 , 50 % prioritized gun control , 46 % gun rights . In this regard , there is no sign that the longer trend toward an emphasis on gun owners ’ rights has abated .","In the wake of the Tucson shootings, there is no significant change in public views on the issue of gun control and gun rights. Currently, 49 % of Americans say it is more important to protect the right of Americans to own guns. In September 2010, 50 % prioritized gun control, 46 % gun rights","Currently, 49 % of Americans say it is more important to protect the right of Americans to own guns. In September 2010, 50 % prioritized gun control, 46 % gun rights.",T5,BART
23,6386,"Where the Holiday Jobs Are Change in number of retail sector jobs Oct. 2013-Feb 2014, by subsector (in thousands)",Describe the surge in holiday jobs.,dataset/images/6386.png,"nearly a third of the retail employment surge ( 202,400 jobs ) occurred at clothing and accessories stores , and more than a quarter ( 177,400 jobs ) at department stores . Other good places to seek holiday employment were general merchandise stores ( 78,600 jobs added between October and December 2013 ) and sporting goods , hobby , book and music retailers ( 65,800 jobs ) .","Last year, the number of retail jobs in the retail sector rose from 78.4 million in 2013 to 202.2 million in 2014, according to Bureau of Labor Statistics.","While the pre - holiday hiring surge is impressive, the post - holiday drop is even more dramatic. Other good places to seek holiday employment were general merchandise stores and sporting goods, hobby, book and music retailers ( 65,800 jobs, or 11 % of last season ’s total increase ).",Gold Standard,T5
24,3860,State Restrictions and Views about Legal Abortion,What is the situation on difference between the South/Midwest states with the 37 US states and the District of Columbia on abortion?,dataset/images/3860.png,"49 % of the residents of these 13 states believe abortion should be illegal in all or most cases . in the other 37 states and the District of Columbia , just 36 % agree , while 58 % say abortion should be legal in all or most cases .","This month Texas joined 12 other states, mainly in the South and Midwest, that have banned abortions at no later than 22 weeks of pregnancy. ( The new Texas law bans abortions at 20 weeks. Some of these other laws are temporarily blocked by court injunction. ) In polling conducted in 2012 and 2013, about half ( 49 % ) of the residents of these 13 states believe abortion should be illegal in all or most cases","This month Texas joined 12 other states, mainly in the South and Midwest, that have banned abortions at no later than 22 weeks of pregnancy. ( The new Texas law bans abortions at 20 weeks.",Gold Standard,BART
25,4708,"U.S. Hiring Rate is Flat Seasonally adjusted, as a percentage of total employment",Write some details about U.S. Hiring Rate?,dataset/images/4708.png,seasonally adjusted hiring rate — defined as hires as a percentage of total nonfarm employment — was 3.3 % .,February ’s seasonally adjusted hiring rate — defined as hires as a percentage of total nonfarm employment — was 3.3 %.,February ’s seasonally adjusted hiring rate — defined as hires as a percentage of total nonfarm employment — was 3.3 %.,Gold Standard,T5
26,6594,"State Statening Local Gap in Governments Views of Federal,","Describe the general public opinion about the local, state and federal governments.",dataset/images/6594.png,63 % of people said they had a favorable opinion of their local government ; 57 % expressed favorable views of their state government . But just 28 % rated the federal government favorably .,"In a Pew Research Center survey conducted in March, 63 % of people said they had a favorable opinion of their local government, a level that ’s stayed fairly constant over several years ; 57 % expressed favorable views of their state government. But just 28 % rated the federal government favorably.","63 % of people said they had a favorable opinion of their local government, a level that ’s stayed fairly constant over several years ; 57 % expressed favorable views of their state government.",Gold Standard,T5
27,7073,Very Percent Closely Following Comparable Election with News 08,How did interest in the presidential campaign change between months?,dataset/images/7073.png,"In July , 29 % said they were following news about the presidential campaign very closely . That increased to 40 % in September","Through much of this election cycle – especially in recent months – interest in campaign news has been comparable to interest in the 2008 race. Four years ago, the percentage following presidential election news very closely dipped following the early primary fights between Barack Obama and Hillary Clinton but then ramped up sharply at the end of the summer as the parties met to nominate their candidates. Interest continued to rise until Election Day.","Through much of this election cycle – especially in recent months – interest in campaign news has been comparable to interest in the 2008 race. Four years ago, the percentage following presidential election news very closely dipped following the early primary fights between Barack Obama and Hillary Clinton but then ramped up sharply at the end of the summer as the parties met to nominate their candidates. Interest continued to rise until Election Day. Similarly in 2004, interest was increased following the conventions. In July, 29 % said they were following news about the presidential campaign very closely.",T5,BART
28,595,Three-quarters say they’re comfortable going to the grocery store; few comfortable attending a party,What activities does U.S. adults think about doing comfortably during coronavirus outbreak ?,dataset/images/595.png,"A majority ( 75 % ) says they feel comfortable going to the grocery store given the current situation with the coronavirus outbreak , and about two - thirds ( 65 % ) say they are comfortable visiting with a close friend or family member inside their home . Just over half ( 53 % ) are comfortable going to a hair salon or barbershop",About two - thirds ( 65 % ) say they are comfortable visiting with a close friend or family member inside their home. Just over half ( 53 % ) are comfortable going to a hair salon or barbershop.,"A majority ( 75 % ) says they feel comfortable going to the grocery store given the current situation with the coronavirus outbreak, and about two - thirds ( 65 % ) say they are comfortable visiting with a close friend or family member inside their home.",Gold Standard,T5
29,284,Large employers more likely to offer paid family leave % of private -sector workers,"Describe the distribution of access to paid family leave in private-sector, by employer payroll size.",dataset/images/284.png,"Perhaps not surprisingly , workers at larger private sector employers are more likely to have paid family leave available . According to the NCS data , 23 % of workers at employers with 500 or more employees had access to the benefit , while only 9 % of workers at employers with fewer than 100 employees do .","According to the NCS data, 23 % of workers at employers with 500 or more employees had access to the benefit ( up from 17 % in 2010 ).","workers at larger private sector employers are more likely to have paid family leave available. According to the NCS data, 23 % of workers at employers with 500 or more employees had access to the benefit.",BART,T5
30,6386,"Where the Holiday Jobs Are Change in number of retail sector jobs Oct. 2013-Feb 2014, by subsector (in thousands)",Describe the surge in holiday jobs.,dataset/images/6386.png,"nearly a third of the retail employment surge ( 202,400 jobs ) occurred at clothing and accessories stores , and more than a quarter ( 177,400 jobs ) at department stores . Other good places to seek holiday employment were general merchandise stores ( 78,600 jobs added between October and December 2013 ) and sporting goods , hobby , book and music retailers ( 65,800 jobs ) .","Last year, the number of retail jobs in the retail sector rose from 78.4 million in 2013 to 202.2 million in 2014, according to Bureau of Labor Statistics.","While the pre - holiday hiring surge is impressive, the post - holiday drop is even more dramatic. Other good places to seek holiday employment were general merchandise stores and sporting goods, hobby, book and music retailers ( 65,800 jobs, or 11 % of last season ’s total increase ).",Gold Standard,BART
31,742,Many Americans believe customer reviews and ratings improve consumer experiences % ofU.S. adults who say customer reviews and ratings help,How is the trend among Americans about the beneficial effect of ratings and ratings?,dataset/images/742.png,"Majorities say reviews have at least a somewhat positive effect on consumer confidence ( 88 % think they help a lot or some ) , product safety ( 80 % ) and company accountability ( 78 % ) .","Majorities say reviews have at least a somewhat positive effect on consumer confidence ( 88 % think they help a lot or some ), product safety ( 80 % ) and company accountability ( 78 % ).","Americans have confidence that reviews and ratings can be beneficial : Majorities say reviews have at least a somewhat positive effect on consumer confidence ( 88 % think they help a lot or some ), product safety ( 80 % ) and company accountability ( 78 % ).",Gold Standard,BART
32,5465,"Most seniors say they need help using new electronic devices % of USS adults who say the statement, When Igeta it up or show me how to use it, describes them vvery or somewhat well, by age",Comment on the barriers faced by the elderly in using electronic devices.,dataset/images/5465.png,"48 % of seniors say that this statement describes them very well : “ When I get a new electronic device , I usually need someone else to set it up or show me how to use it . ”","Some 34 % of older internet users say they have little to no confidence in their ability to use electronic devices to perform online tasks, while 48 % of seniors say that this statement describes them very well : “ When I get a new electronic device, I usually need someone else to set it up or show me how to use it. ”","Some 34 % of older internet users say they have little to no confidence in their ability to use electronic devices to perform online tasks, while 48 % of seniors say that this statement describes them very well : “ When I get a new electronic device, I usually need someone else to set it up or show me how to use it. ”",Gold Standard,BART
33,2264,"Blacks, Hispanics less likely than whites to view police officers 'warmly' % who rate police (warmestrating) officers on a feeling thermometer from 0 (coldest rating) to 100 (warmestrating) Very cold Somewhat cold Neutra Somewhat warm Very warm",How do blacks and hispanics view the police officers?,dataset/images/2264.png,"About two - thirds of the public ( 64 % ) give officers a warm rating on the scale ( between 51 and 100 ) , including 45 % who rate them very warmly ( 76 - 100 ) . Fewer give a neutral rating of 50 ( 16 % ) , and just 18 % give a cold rating on the scale ( 0 - 49 ) .","About two - thirds of the public ( 64 % ) give officers a warm rating on the scale ( between 51 and 100 ), including 45 % who rate them very warmly ( 76 - 100 )","About two - thirds of the public ( 64 % ) give officers a warm rating on the scale ( between 51 and 100 ), including 45 % who rate them very warmly ( 76 - 100 )",Gold Standard,BART
34,1690,"Eight-in-ten U.S. Muslims say they fast during Ramadan Do you fast during the holy month of Ramadan, or not?",Describe the Ramadan's celebration habits in the U.S.,dataset/images/1690.png,"In the United States , the vast majority of Muslims celebrate Ramadan , with eight - in - ten saying they fast during the holiday . Fasting for Ramadan is common across all the demographic groups that make up America ’s 2.15 million Muslim adults . For instance , similar shares of Muslim men and women ( 77 % vs. 82 % ) say they fast , and there is little difference between Muslims who were born in the U.S. and immigrants ( 79 % vs. 80 % ) .","In the United States, the vast majority of Muslims celebrate Ramadan, with eight - in - ten saying they fast during the holiday.","In the United States, the vast majority of Muslims celebrate Ramadan, with eight - in - ten saying they fast during the holiday.",BART,Gold Standard
35,5477,About four-in-ten U.S. intermarried couples include one Hispanic and one white spouse % of 'opposite- sex newlywed intermarried couples that include each combination White/American Indian 3% Hispanic/ Black 5% White/ Black 11% White/ Asian 15% White/Hispanic 42%,Describe the trend in ethnic pairing of intermarried couples in U.S. ?,dataset/images/5477.png,"The most common racial or ethnic pairing among newlywed intermarried couples is one Hispanic and one white spouse ( 42 % ) . The next most common intermarriage pairings are one white and one Asian spouse ( 15 % ) . Some 12 % of newlywed intermarried couples include one white and one multiracial spouse , and 11 % include one white and one black spouse .",The most common racial or ethnic pairing among newlywed intermarried couples is one Hispanic and one white spouse ( 42 % ). The next most common intermarriage pairings are one white and one Asian spouse ( 15 % ),The most common racial or ethnic pairing among newlywed intermarried couples is one Hispanic and one white spouse ( 42 % ).,Gold Standard,BART
36,4071,News Interest May vs. News Coverage Economy Swine flu 21,How are news about the state of the economy reports compared to other news?,dataset/images/4071.png,"About a quarter of the public ( 24 % ) says they followed reports about the condition of the economy more closely than other top stories last week , while 21 % followed news about the swine flu most closely . According to the latest weekly News Interest Index survey .","About a quarter of the public ( 24 % ) says they followed reports about the condition of the economy more closely than other top stories last week, while 21 % followed news about the swine flu most closely","About a quarter of the public ( 24 % ) says they followed reports about the condition of the economy more closely than other top stories last week, while 21 % followed news about the swine flu most closely.",BART,Gold Standard
37,738,"Racial and ethnic composition of immigrant eligible voters varies across states % of immigrant eligible voters, by race and ethnicity",What is the voting situation of different race and ethnic voters in NEW York ?,dataset/images/738.png,"Asians ( 26 % ) , Latinos ( 25 % ) and whites ( 25 % ) make up similar shares of the state ’s immigrant eligible voters , while black immigrants ( 21 % ) are a slightly lower share .","Asian ( 26 % ), Latinos ( 25 % ) and whites ( 25",New York stands out for the racial and ethnic diversity of its immigrant eligible voters,T5,BART
38,375,"Since last fall, more Americans say the government should do more to help those in need",What proportion of Americans are in favor of helping those most in need?,dataset/images/375.png,"Americans ’ views about aid to those in need have shifted since September , with more Americans now saying the government should do more to help the needy , even if it means going deeper into debt . Today , 58 % of Americans say this , up from 49 % last fall .","Today, 58 % of Americans say this, up from 49 % last fall. Currently, four - in - ten Americans say the government today ca n’t afford to do much more to help the needy.","Today, 58 % of Americans say this, up from 49 % last fall. Currently, four - in - ten Americans say the government today ca n’t afford to do much more to help the needy, down from 48 % in September.",BART,Gold Standard
39,908,About four-in-ten post-9/11 veterans say the government hasn't given them enough help,How do nowadays veterans see the government?,dataset/images/908.png,64 % of veterans say the government has given them about as much help as it should have Three - in - ten say the government has given them too little help . Post-9/11 veterans are more likely than those from previous eras to say the government has given them less help than it should have ( 43 % vs. 27 % ),"More broadly, 64 % of veterans say the government has given them about as much help as it should have.","More broadly, 64 % of veterans say the government has given them about as much help as it should have.",Gold Standard,T5
40,1152,A 58% majority says Trump definitely or probably has done things that are ‘grounds for impeachment’,Describe Republican views about Trump eligibility for impeachment?,dataset/images/1152.png,a smaller majority of Republicans ( 80 % ) say he has not Fewer than half of Republicans ( 46 % ) say Trump has definitely not done things that are grounds for impeachment .,While 93 % of Democrats say Trump has definitely or probably done things that are grounds for impeachment – including 70 % who say he has definitely done such things – a smaller majority of Republicans ( 80 %,While 93 % of Democrats say Trump has definitely or probably done things that are grounds for impeachment – including 70 % who say he has definitely done such things – a smaller majority of Republicans ( 80 % ) say he,T5,Gold Standard
41,6250,"Religious Affiliation, by Hispanic Origin Group",Compare the prevalence of Catholics among different Hispanic origin groups.,dataset/images/6250.png,"Mexicans and Dominicans are more likely than most other Hispanic origin groups to say they are Catholic . About six - in - ten Mexicans ( 61 % ) and Dominicans ( 59 % ) identify as Catholic , compared with about 49 % of Cubans , 45 % of Puerto Ricans and 42 % of Salvadorans .","About six - in - ten Mexicans ( 61 % ) and Dominicans ( 59 % ) identify as Catholic, compared with about 49 % of Cubans, 45 % of Puerto Ricans and 42 % of Salvadorans.","The share of Latino adults who identify as Catholic is declining as the share of Protestants and the religiously unaffiliated rise. Today, 55 % of Latinos say they are Catholic.",BART,Gold Standard
42,4505,Figure 1,What are views of Americans on dealing with unauthorized immigrants?,dataset/images/4505.png,"A small majority ( 53 % ) says they should pay a fine but not be deported . A small minority ( 13 % ) says they should be deported , and a larger minority ( 28 % ) says they should not be punished .","A new national survey by the Pew Hispanic Center, a project of the Pew Research Center, finds that Latinos are divided over what to do with these immigrants. A small majority ( 53 % ) says they should pay a fine but not be deported.","A new national survey by the Pew Hispanic Center, a project of the Pew Research Center, finds that Latinos are divided over what to do with these immigrants. A small majority ( 53 % ) says they should pay a fine but not be deported.",BART,Gold Standard
