Image,Text,Summary,Model Output
1077,"What were expectations of Democrats that Trump would not set a high moral standard for the presidency? <s> Trump gets relatively low ratings among members of both parties for setting a high moral standard for the presidency <s> the gets relatively low ratings among members of both parties for setting a high  | moral standard for the presidency  | % who say Donald Trump would (2016) say Donald Trump has (2018)  | Definitely Probably  | Probably not  | Definitely not  | standing Improve(d) the country's  | Set a high moral standard  | Improperly use(d) the office to enrich  | standing around the world  | for the presidency  | Improperly himself or use(d) his friends and family  | TOTAL REP/LEAN DEM/LEAN  | TOTAL REP/LEAN DEM/LEAN  | TOTAL REP/LEAN DEMYLEAN  | REP  | DEM  | REP  | DEM  | REP  | DEM  | 79 84  | 70 72  | 60  | 56 55  | 51  | 27  | 46 59  | 19  | 44  | 36 36  | 33 27  | 20  | 35  | 29  | 21  | 10  | 20 15  | 28 22  | 42 52  | 40 47  | 29 28  | 40 47  | 69 81  | 76  | 43 43  | 28 41  | 66  | 62 62  | 66 71  | 70  | 79  | 91 90  | 89 92  | 16 18  | 16 18  | 16 118  | '16 18  | '16 18  | ""16 '18  | '16 18  | ""16 '18  | 16 '18  | Note: Don 'tknow/No answer responses notshown. 30-Aug  | Source: Survey ofU.S. adults conducted Uuly 30-Aug 12 2018  | PEW RESEARCH CENTER ","Before the election , 89 % of Democrats anticipated that Trump would not set a high moral standard for the presidency ; today , about the same share ( 92 % ) say he has not done this . Still , more Democrats say he has definitely not set a high moral standard for the presidency than said he definitely would do this in the pre - election survey ( 81 % now , 69 % then ) .","Overall, 79 % of Democrats said Trump would definitely not improve the country ’s standing around the world, while 56 % said he would improperly use the office to enrich the country ’s standing around the world."
1514,"Does people agree with Donald Trump on issues facing the country? <s> Public views of Trump’s issue positions improve; critiques of conduct remain <s> Public views of Trump's issue positions  | improve; critiques of conduct remain  | % who say they agree today with Donald Trump on issues  | facing the say country they agree today  | No or a Imost no a few Many, not all All or nearly all  | May 2018  | 33  | 24  | 22 19  | 57  | Aug 2017 66  | 45  | 21 18 15 33  | % himself who say president they the way Donald Trump conducts  | % himself who say as president they the  | Like Have mixed feelings about Don't like  | May 2018  | 19  | 26  | 54  | Aug 2017  | 16  | 25  | 58  | Note: Don 'tknow responses notshown.  | Source: Survey ofl. S. adults conducted April 125-May 1, 2018  | PEW RESEARCH CENTER ","41 % of the public agrees with Trump on “ all or nearly all ” or many of the issues facing the country , while 57 % agree with him on just a few issues or virtually none . In August , just 33 % said they agreed with Trump on many or all issues .","Overall, 57 % of Americans say they agree with Trump on all or nearly all of the issues facing the country, compared with 33 % who say they do not agree with him at all."
2119,"What are the less commonly played games among adults who play video games often or sometimes? <s> Puzzle and strategy games are among the most popular types of video games % saying they typically play each typeof game, among adults who play video games often or sometimes  <s> Puzzle and strategy games are among  | the most popular types of video games  | % saying they typically play each typeof game, among  | adults who play video games often or sometimes  | Puzzle  | 62  | Stra tegy  | 62  | Adventure  | 49  | Shooter  | 42  | Role-playing  | 39  | Team sport  | 33  | or racing  | Simulation  | 32  | Note: Response options are not exha 5% ustive and respondents were  | permitted to sell lectall thatapply. 5% report.that they play none of  | these types of games.  | Source Survev ofU.S. adults conducted March 13-27 and April  | 4-18, 2017.  | PEW RESEARCH CENTER ","Adventure , shooter , role - playing , team sport or racing and simulation games are all somewhat less commonly played , with about half of video game players or fewer saying they typically play these types of games .","Strategy and puzzle games are the most popular. Among adults who play video games often or sometimes, 62 % say they play puzzle and strategy games often or sometimes, compared with 62 % of those who play strategy and 62 % of those who play strategy and 62 % of those who play strategy and 62 % of those who play strategy and 62 % of those who play strategy and 62 % of those who play strategy and 62 % of those who play strategy and 62"
449,"Describe the trend of multiracial Americans towards people of different origins? <s> Majorities of multiracial adults saw themselves as more open to and understanding of other cultures, races <s> Majorities of multiracial adults saw  | themselves as more open to and  | understanding of other cultures, races  | % ofadults with a multiracial background who said  | their multiracial background made them feel  | More open to other  | 59  | cultures  | More understanding of  | people of different  | 55  | racial backgrounds  | Like a ""bridge"" between  | 19  | different racial groups  | Note: Multiracial adults include those who are two or more races  | based on background of self, parents or grandparents.  | Source: Survey of U.S. multiracial adults conducted Feb. 6-April 6,  | 2015.  | PEW RESEARCH CENTER ","Multiracial adults see themselves as more open to other cultures and more understanding of people of different backgrounds . Around six - in - ten multiracial Americans ( 59 % ) said their multiracial background has made them more open to cultures other than their own , and 55 % felt that they were more understanding of people of different racial backgrounds . Still , relatively few ( 19 % ) said they had felt like they were a go - between or “ bridge ” between different racial groups",A majority of multiracial Americans said their multiracial background made them feel more open to and understanding of people of different racial groups. A majority of multiracial adults said their multiracial background made them feel more open to and understanding of people of different racial groups. A majority of multiracial adults said their multiracial background made them feel more open to and understanding of people of different racial groups.
855,"What opinion do majorities have about right to allow Americans to have medical data permanently deleted in? <s> Majorities favored the right to allow Americans to have medical data permanently deleted in 2019 <s> Majorities favored the right to allow  | Americans to have medical data  | permanently deleted in 2019  | % of U.S. adults who thought that all Americans  | should have the right to have medical data collected  | by a health care provider permanently deleted by the  | people or organizations who have that information  | U.S adults  | 69  | I CONTERTICALLY 56  | White  | 73  | Black  | CONTERTICALLY 56  | Hispanic  | .64  | Ages 18-29  | 59  | 30-49  | 70  | 50-64  | 72  | 65+  | 73  | HS or less  | Some college  | 70  | College+  | 77  | Note: White jand black adults include only non-Hispanics. Hispanics  | are of any race. Those who did not give an answer or who gave fother  | responses are not shown.  | Source: Survey conducted June 3-17, 2019.  | PEW RESEARCH CENTER ",in June 2019 about seven - in - ten U.S. adults ( 69 % ) said all Americans should have the right to have medical data collected by a health provider permanently deleted by the people or organizations who have that information .,"Overall, 69 % of U.S. adults said all Americans should have the right to have medical data collected by a health care provider permanently deleted by the people or organizations who have that information"
1951,What opinion do men and women have about who have access to a fully loaded gun that is accessible to them all the time? <s> Higher shares of male than female gun owners keep a loaded gun within easy reach when they re at home % of gun owners who say there isa gun that is both loaded and easily accessible to them at home NET 59% % ofhandgun owners who say they carry their gun <s> Higher shares of male than female gun  | owners keep a loaded gun within easy  | reach when they re at home  | % of gun owners who say there isa gun that is both  | loaded and easily accessible to them at home  | All of  | Mostof  | Only some Never  | the time the time  | of the time  | NET 59%  | Men  | 43  | 16  | 32  | NET 48%  | Women  | 29  | 19  | 17  | 35  | % ofhandgun owners who say they carry their gun  | outside the home  | NET 26%  | Men 12  | 15  | 35  | 39  | NET26%  | Women 10  | 16  | 25  | 49  | Share Note: Figures may notadd to Adidn' subtotals 'toffer indicated answernotshown. due to rounding  | Share Figures ofrespondents who Adidn' 'toffer an answernotshown. rounding  | Source Survey ofU.S adults conducted March 13-27 and April4-  | 18. 2017  | PEW RESEARCH CENTER ,". Some 43 % of men who own guns say this is the case , compared with 29 % of women gun owners",About four - in - ten men ( 43 % ) and women ( 35 % ) say there is a gun that is both loaded and easily accessible to them all the time.
1941,What opinion do U.S. adults have about municipal broadband networks should not be allowed? <s> Support for broadband subsidies varies greatly by political affiliation % of US adults who agree with each statement Local should governments be Loal governments high-speed their own high-speed networks networks <s> Support for broadband subsidies varies  | greatly by political affiliation  | % of US adults who agree with each statement  | Local should governments be Loal governments  | should be allowed should governments not be  | to build high-speed their own allowed to build  | high-speed their own high-speed  | networks networks  | U.S ad ults  | 70  | 27  | Rep/Lean Rep  | 67  | 31  | Dem/Lean Dem  | 74  | 23  | The government Broadband is  | should government provide affordable  | broadband  | enough that  | subsidies for low-  | nearly purchase anyone  | nearly can purchase anyone it  | income Americans  | U.S ad ults  | 54  | 44  | Rep/Lean Rep  | 75  | 24  | Dem/Lean Dem  | 38  | 60  | Source: Survey conducted March 13-27 2017.  | PEW RESEARCH CENTER ,27 % of U.S. adults say these so - called municipal broadband networks should not be allowed,"Overall, 70 % of U.S. adults agree that municipal broadband networks should not be allowed to build high - speed networks, while 27 % say they should be allowed to build their own high - speed networks."
2243,write about views across middle East of president Bashar? <s> Lebanese most positive on Assad Views of Syrian President Bashar al-Assad <s> Lebanese most positive on Assad  | Views of Syrian President Bashar al-Assad  | Unfavorable Favorable  | 53%  | 44%  | Lebanon  | Tunisia  | 21  | Turkey  | 79  | 12  | Israel 92  | Jo rdan 95  | MEDIAN  | 79  | 12  | Source: Spring 2017 Globa Attitudes Survey. Q60c.  | PEW RESEARCH CENTER ,Views of Syrian President Bashar al - Assad are negative across all of the Middle Eastern nations surveyed . Only 7 % in Israel and 1 % in Jordan view Assad positively .,"Views of the Syrian president Bashar al - Assad are more positive in Lebanon ( 53 % ) than in Tunisia ( 21 % ), Turkey ( 79 % ) and Israel ( 92 % )."
1532,"What perceptions do partisans have on foreign trade? <s> Stark partisan divide on proposed tariff increases on imports of steel and aluminum % who say <s> Stark partisan divide on proposed tariff increases on  | imports of steel and aluminum  | % who say  | Bad thing Good thing  | DK  | Free trade agreements have been a  | thing for the U.S.  | Total  | 30  | 56  | Rep/Lean Rep  | 46  | 43  | 12  | Dem/Lean Dem  | 19  | 67  | 14  | Raising tariffs on steel and aluminum would be a  | thing for the U.S.  | Total  | 37  | 4.5  | Rep/Lean Rep  | 26  | 58  | 16  | Dem/Lean Dem  | 63  | 22  | 15  | Note: Figures Survey may ofus notadd to 100% because April25-May ofrounding 2018  | Source: Figures Survey ofus adults cond lucted April25-May ofrounding 1, 2018  | PEW RESEARCH CENTER ","Republicans generally have a positive view of potential increases in tariffs on steel and aluminum imports . About six - in - ten ( 58 % ) say they would be good for the country , while just 26 % say such tariff increases would be bad for the country . Democratic opinion is the opposite : Only 22 % of Democrats think increasing steel and aluminum tariffs would be good for the U.S. , while 63 % say they would be bad for the country","Among Republicans and Republican leaners, a 57 % majority of Democrats and Democratic leaners say free trade agreements have been a good thing for the U.S., compared with a 67 % majority of Republicans and Republican leaners."
1847,"What is the situation of Americans losing a job as a result of workforce automation? <s> Young Americans especially likely to have been impacted by workforce automation % of USS adults in each group who say they have ever personally Losta job Had pay or ho urs reduced <s> Young Americans especially likely to  | have been impacted by workforce  | automation  | % of USS adults in each group who say they have ever  | personally  | because their employers replaced their  | positions (or some aspect of theirjobs) with a machine,  | positions robot or computer aspect program theirjobs)  | Losta job Had pay or ho urs reduced  | 11  | 25-29  | 30-49  | 50-64  | 65+  | U.S  | 18-24  | ad lults  | Source Survey conducted May1-15, 2017.  | ""Automa Survey tion in Everyday Life  | PEW RESEARCH CENTER ",2 % of Americans report that they have ever personally lost a job because their employers replaced their positions with a machine or computer program .,"About six - in - ten Americans ages 18 to 24 ( 11 % ) say they have ever personally lost a job as a result of their employers replacing their jobs with a machine, robot or computer program, according to a Pew Research Center survey conducted May 1-15."
1850,"What is the world's view on the worldwide economic leader country? <s> Despite EU's large economy, few ses it as world's the economic power % who say is the world's 2016 GDP (current intl. dollars,  <s> Despite EU's large economy, few ses it as world's  | the economic power  | % who say is the world's  | 2016 GDP (current intl. dollars,  | leading economic power  | based on purchasing power parity)  | $21.4 trillion  | U.S.  | 42%  | China  | China  | 32  | 20 3  | EU  | 18.6  | EU  | U.S  | Japan  | Japan 5.3  | Note: Percenta ges are global medians based on 38 countries. Volunteered  | categories Other"" and None/There is no leading economic power not shown.  | Source: Spring 2017 Globa Attitudes Survey; World Bank accessed Aug. 4 2017  | PEW RESEARCH CENTER ","a median of just 9 % view the countries of the EU as the world ’s leading economic power . 42 % name the U.S. and 32 % name China , while an additional 7 % name Japan .","The world ’s economic leader is the U.S., China ( 32 % ), China ( 32 % ) and Japan ( 5.3 % )."
437,"How do Americans' see the coronavirus statistics? <s> Majority says COVID-19 cases have risen primarily because of more new infections, not just more testing <s> Majority says COVID-19 cases have  | risen primarily because of more new  | infections, not just more testing  | % who say the primary reason there are increasing  | numbers ofconfirmed cases of coronavirus in the U.S  | is that .700  | More people are  | There are more  | being tested  | new infections,  | than in previous  | not just more  | months  | tests  | Total  | 39  | 60  | Re p/Lean Rep  | 62  | 36  | Dem/Lean Dem  | 19  | 80  | Notes: See topline for full question wording. No answer responses  | not shown.  | Source: Survey of U. .S. adults conducted July 27-Aug. 2, 2020.  | PEW RESEARCH CENTER ","The survey finds that a majority of Americans ( 60 % ) say the primary reason that the number of confirmed coronavirus cases is increasing is because there are more new infections , not just more testing for the disease . About four - in - ten ( 39 % ) say cases are rising primarily because more people are being tested than in previous months",About six - in - ten Americans ( 60 % ) say the primary reason there are increasing cases of the coronavirus is that more people are being tested than in previous years
1694,"What do Americans think about  doctors will use computer programs to diagnose and treat most diseases in the next 20 years? <s> Americans expect a range of tech advances to occur in the next 20 years % of U.S. adults who say the following happen in the next 20 years <s> Americans expect a range of tech advances to occur in the next 20 years  | % of U.S. adults who say the following happen in the next 20 years  | Definitely Probably  | Probably  | Definitely  | will not  | will not  | will  | will  | Doctors will use computer programs to  | 18%  | 58%  | 21%  | diagnose and treat most diseases  | Most stores will be fully automated and  | 32  | 13  | 52  | involive little human interaction  | Most deliveries in cities will be made by  | 31  | 53  | 12  | robots or drones instead of humans  | People will create most of the products  | 50  | 36  | they buy at home using a 3-D printer  | Note: Respondents who did not give an answer are not shown,  | Source: Survey conducted May 1-15 2017  | ""Automation in Everyday Life  | PEW RESEARCH CENTER ","Roughly eight - in - ten U.S. adults ( 79 % ) say that in the next 20 years doctors will use class='chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6'>computer programs to diagnose and treat most diseases , including 21 % who say this will definitely happen",About two - thirds of Americans ( 58 % ) expect that doctors will use computer programs to diagnose and treat most diseases in the next 20 years.
1587,"Describe the share of children living with married parents. <s> Across community types, at least two-thirds of children live with two married parents <s> Across community types, at least  | two-thirds of children live with two  | married parents  | Share of children living with married parents  | 66%  | Urban  | Suburban  | 71  | 68  | Rural  | Note: County categories based on the National Center for  | Health Statistics Urban Rural Classification Scheme for  | Counties Includes children younger than 18 who have  | parent house holder.  | Source: Pew Research Center ana alysis of 2012-2016  | American Community Survey data.  | PEW RESEARCH CENTER ","71 % of children live with two married parents . This is slightly higher than the 66 % of children in urban areas living with two married parents , and similar to the 68 % of rural children who live with two married parents .","Across county types, at least two - thirds of children are living with married parents, compared with 66 % of those living in urban areas and 68 % of those living in rural counties."
1314,"What benefits are in the use of mobile phones? <s> Vast majority of users in 11 countries say mobile phones help them stay connected with those who live far away <s> Vast majority of users in 11 countries  | say mobile phones help them stay  | connected with those who live far away  | % ofadult mobile phone users who say their phone has  | their ability to  | mostly  | Hurt  | Helped  | Stay in touch with those  | 1%  | 93%  | who live far away  | Get information and news  | 3  | 79  | about important issues  | Earn a living  | 63  | Concentrate and get  | 11  | 62  | things done  | Communicate  | 13  | 58  | face-to-face  | Note: Percentages ware 11-country medians Respondents who gave  | other responses are not shown. Mobile phone users include those  | who say they own or share a mobile phone  | Source: Mobile Technology and Its Social Impact Survey 2018  | Q13Aa-e  | ""Mobile Connectivity in Emerging Economies  | PEW RESEARCH CENTER ","a sizable majority of mobile phone users ( 79 % ) say their own phone has helped their ability to get news and information about important issues . Similarly , a median of 58 % of mobile phone users say their devices have helped their ability to communicate face - to - face .","A median of 63 % of mobile phone users in 11 countries say their mobile phone has helped them stay in touch with those who live far away, while a median of 63 % say their phone has mostly helped them get information and news about important issues. A median of 62 % of mobile phone users say their mobile phone helps them concentrate and get things done. A median of 62 % of mobile phone users say their mobile phone has helped them communicate face - to - face with those who live far away."
1397,"Describe how U.S. adult get news from? <s> Share using local TV for news falls from 2016 to 2017, but still makes up largest audience among the three TV platforms % of U.S. adults who often getnews on each TV sector  <s> Share using local TV for news falls from  | 2016 to 2017, but still makes up largest  | audience among the three TV platforms  | % of U.S. adults who often getnews on each TV sector  | 2016  | 2017  | 46%  | 37%  | 31  | 30  | 28  | 26  | Local TV  | Network TV  | Cable TV  | Source: Survey conducted IAug 8-21, 2017.  | PEW RESEARCH CENTER ","Americans are relying less on television for their news . Just 50 % of U.S. adults now get news regularly from television , down from 57 % a year prior in early 2016 . But that audience drain varies across the three television sectors : local , network and cable . Local TV has experienced the greatest decline but still garners the largest audience of the three , according to a new Pew Research Center analysis . From 2016 to 2017 , the portion of Americans who often rely on local TV for their news fell 9 percentage points , from 46 % to 37 % . By comparison , reliance on network TV news declined from 30 % to 26 % . Cable TV news use remained more stable , with 28 % often getting news there last year , compared with 31 % in 2016 . Even after these declines , local TV still has a wider reach overall for news than network and cable . Some demographic groups turn to each of the three television venues more than others , however","Overall, 46 % of U.S. adults get news from local TV, down from 41 % in 2016."
